question_type,service_level,channel_bin,snr_bin,view_quality_bin,count_bucket,sample_count,expected_accuracy,wilson_low,wilson_high,avg_payload_bytes,inherited,simulator_derived
co_presence,1,bad,-5dB,good,na,198,0.818182,0.758572,0.86568,957.0,0,0
co_presence,1,bad,-5dB,medium,na,306,0.823529,0.776881,0.862156,987.6,0,0
co_presence,1,bad,-5dB,poor,na,4428,0.690379,0.676601,0.703827,927.8,0,0
co_presence,1,bad,0dB,good,na,198,0.818182,0.758572,0.86568,955.7,0,0
co_presence,1,bad,0dB,medium,na,306,0.823529,0.776881,0.862156,988.1,0,0
co_presence,1,bad,0dB,poor,na,4428,0.691057,0.677286,0.704496,927.4,0,0
co_presence,1,good,15dB,good,na,198,0.818182,0.758572,0.86568,957.0,0,0
co_presence,1,good,15dB,medium,na,306,0.823529,0.776881,0.862156,987.9,0,0
co_presence,1,good,15dB,poor,na,4428,0.691057,0.677286,0.704496,927.0,0,0
co_presence,1,good,20dB,good,na,198,0.818182,0.758572,0.86568,957.0,0,0
co_presence,1,good,20dB,medium,na,306,0.823529,0.776881,0.862156,987.9,0,0
co_presence,1,good,20dB,poor,na,4428,0.691057,0.677286,0.704496,927.0,0,0
co_presence,1,medium,10dB,good,na,198,0.818182,0.758572,0.86568,957.0,0,0
co_presence,1,medium,10dB,medium,na,306,0.823529,0.776881,0.862156,988.0,0,0
co_presence,1,medium,10dB,poor,na,4428,0.691057,0.677286,0.704496,927.0,0,0
co_presence,1,medium,5dB,good,na,198,0.818182,0.758572,0.86568,957.0,0,0
co_presence,1,medium,5dB,medium,na,306,0.823529,0.776881,0.862156,987.4,0,0
co_presence,1,medium,5dB,poor,na,4428,0.691057,0.677286,0.704496,927.1,0,0
co_presence,2,bad,-5dB,good,na,198,0.590909,0.521327,0.657031,161841.0,0,0
co_presence,2,bad,-5dB,medium,na,306,0.617647,0.562057,0.670319,173736.0,0,0
co_presence,2,bad,-5dB,poor,na,4428,0.593496,0.578953,0.607876,189217.0,0,0
