image_id,channel_bin,view_quality_bin,target_class,gt_count,detector_target_count,abs_detector_count_error,question,ground_truth_answer,predicted_answer,correct
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,1,False
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,1,False
0000001_02999_d_0000005,bad,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,1,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_02999_d_0000005,medium,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_02999_d_0000005,good,medium,awning-tricycle,17,0,17,How many awning-tricycle objects are in this area?,17,no,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03499_d_0000006,medium,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03499_d_0000006,good,good,awning-tricycle,2,0,2,How many awning-tricycle objects are in this area?,2,no,False
0000001_03999_d_0000007,bad,medium,car,3,3,0,How many car objects are in this area?,3,1,False
0000001_03999_d_0000007,bad,medium,car,3,3,0,How many car objects are in this area?,3,1,False
0000001_03999_d_0000007,bad,medium,car,3,3,0,How many car objects are in this area?,3,1,False
0000001_03999_d_0000007,medium,medium,car,3,3,0,How many car objects are in this area?,3,1,False
0000001_03999_d_0000007,medium,medium,car,3,3,0,How many car objects are in this area?,3,1,False
0000001_03999_d_0000007,medium,medium,car,3,3,0,How many car objects are in this area?,3,1,False
