question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci
counting,0,bad,good,expired,critical,0.306732,267,0.001176
counting,0,bad,good,expired,normal,0.327158,617,0.000759
counting,0,bad,good,fresh,critical,0.568345,267,0.002134
counting,0,bad,good,fresh,normal,0.603326,617,0.00141
counting,0,bad,good,stale,critical,0.448569,267,0.001645
counting,0,bad,good,stale,normal,0.478746,617,0.001131
counting,0,bad,medium,expired,critical,0.303595,411,0.000955
counting,0,bad,medium,expired,normal,0.323067,667,0.000776
counting,0,bad,medium,fresh,critical,0.562107,411,0.001744
counting,0,bad,medium,fresh,normal,0.598386,667,0.001415
counting,0,bad,medium,stale,critical,0.443903,411,0.001403
counting,0,bad,medium,stale,normal,0.473423,667,0.001077
counting,0,bad,poor,expired,critical,0.300261,412,0.000899
counting,0,bad,poor,expired,normal,0.319385,706,0.000735
counting,0,bad,poor,fresh,critical,0.553432,412,0.001782
counting,0,bad,poor,fresh,normal,0.588957,706,0.001375
counting,0,bad,poor,stale,critical,0.439451,412,0.001365
counting,0,bad,poor,stale,normal,0.465535,706,0.001061
counting,0,good,good,expired,critical,0.310842,267,0.001208
counting,0,good,good,expired,normal,0.33121,617,0.000788
counting,0,good,good,fresh,critical,0.573802,267,0.00208
counting,0,good,good,fresh,normal,0.610656,617,0.001404
counting,0,good,good,stale,critical,0.455962,267,0.001735
counting,0,good,good,stale,normal,0.483814,617,0.001126
counting,0,good,medium,expired,critical,0.308002,411,0.000903
counting,0,good,medium,expired,normal,0.328011,667,0.000785
counting,0,good,medium,fresh,critical,0.569509,411,0.001811
counting,0,good,medium,fresh,normal,0.60529,667,0.001423
counting,0,good,medium,stale,critical,0.448897,411,0.001406
counting,0,good,medium,stale,normal,0.478534,667,0.001131
counting,0,good,poor,expired,critical,0.303875,412,0.000923
counting,0,good,poor,expired,normal,0.323293,706,0.000773
counting,0,good,poor,fresh,critical,0.560836,412,0.001697
counting,0,good,poor,fresh,normal,0.596631,706,0.001428
counting,0,good,poor,stale,critical,0.444978,412,0.001361
counting,0,good,poor,stale,normal,0.472243,706,0.001117
counting,0,medium,good,expired,critical,0.309599,267,0.001151
counting,0,medium,good,expired,normal,0.329345,617,0.000777
counting,0,medium,good,fresh,critical,0.571331,267,0.002169
counting,0,medium,good,fresh,normal,0.609371,617,0.001415
counting,0,medium,good,stale,critical,0.452552,267,0.001784
counting,0,medium,good,stale,normal,0.482031,617,0.001146
counting,0,medium,medium,expired,critical,0.306496,411,0.000958
counting,0,medium,medium,expired,normal,0.325646,667,0.000769
counting,0,medium,medium,fresh,critical,0.56491,411,0.001763
counting,0,medium,medium,fresh,normal,0.602786,667,0.00142
counting,0,medium,medium,stale,critical,0.448805,411,0.001424
counting,0,medium,medium,stale,normal,0.477309,667,0.00115
counting,0,medium,poor,expired,critical,0.301437,412,0.000984
counting,0,medium,poor,expired,normal,0.321737,706,0.000741
counting,0,medium,poor,fresh,critical,0.556971,412,0.001667
counting,0,medium,poor,fresh,normal,0.594689,706,0.001377
counting,0,medium,poor,stale,critical,0.441514,412,0.001413
counting,0,medium,poor,stale,normal,0.470764,706,0.001108
counting,1,bad,good,expired,critical,0.379005,267,0.001396
counting,1,bad,good,expired,normal,0.403899,617,0.000967
counting,1,bad,good,fresh,critical,0.476144,267,0.001751
counting,1,bad,good,fresh,normal,0.50824,617,0.001205
counting,1,bad,good,stale,critical,0.439067,267,0.001662
counting,1,bad,good,stale,normal,0.467373,617,0.001106
counting,1,bad,medium,expired,critical,0.301612,411,0.000937
counting,1,bad,medium,expired,normal,0.320762,667,0.000763
counting,1,bad,medium,fresh,critical,0.378497,411,0.001194
counting,1,bad,medium,fresh,normal,0.403489,667,0.000958
counting,1,bad,medium,stale,critical,0.348391,411,0.001049
counting,1,bad,medium,stale,normal,0.370192,667,0.000866
counting,1,bad,poor,expired,critical,0.218843,412,0.000702
counting,1,bad,poor,expired,normal,0.23248,706,0.000524
counting,1,bad,poor,fresh,critical,0.274403,412,0.000879
counting,1,bad,poor,fresh,normal,0.291964,706,0.000682
counting,1,bad,poor,stale,critical,0.252388,412,0.000792
counting,1,bad,poor,stale,normal,0.26828,706,0.000627
counting,1,good,good,expired,critical,0.579214,267,0.002262
counting,1,good,good,expired,normal,0.617804,617,0.001436
counting,1,good,good,fresh,critical,0.729562,267,0.00278
counting,1,good,good,fresh,normal,0.773719,617,0.001782
counting,1,good,good,stale,critical,0.67018,267,0.002708
counting,1,good,good,stale,normal,0.711591,617,0.001681
counting,1,good,medium,expired,critical,0.477674,411,0.001484
counting,1,good,medium,expired,normal,0.508913,667,0.00116
counting,1,good,medium,fresh,critical,0.600363,411,0.001825
counting,1,good,medium,fresh,normal,0.638614,667,0.001503
counting,1,good,medium,stale,critical,0.54971,411,0.001668
counting,1,good,medium,stale,normal,0.586499,667,0.001413
counting,1,good,poor,expired,critical,0.314797,412,0.000997
counting,1,good,poor,expired,normal,0.334701,706,0.000801
counting,1,good,poor,fresh,critical,0.396764,412,0.001208
counting,1,good,poor,fresh,normal,0.422232,706,0.001017
counting,1,good,poor,stale,critical,0.363144,412,0.001114
counting,1,good,poor,stale,normal,0.387063,706,0.000905
counting,1,medium,good,expired,critical,0.509827,267,0.001807
counting,1,medium,good,expired,normal,0.540707,617,0.001279
counting,1,medium,good,fresh,critical,0.64122,267,0.00234
counting,1,medium,good,fresh,normal,0.680519,617,0.001538
counting,1,medium,good,stale,critical,0.585582,267,0.002228
counting,1,medium,good,stale,normal,0.624996,617,0.001392
counting,1,medium,medium,expired,critical,0.419927,411,0.001328
counting,1,medium,medium,expired,normal,0.446424,667,0.001098
counting,1,medium,medium,fresh,critical,0.526958,411,0.001676
counting,1,medium,medium,fresh,normal,0.560143,667,0.001293
counting,1,medium,medium,stale,critical,0.484173,411,0.00151
counting,1,medium,medium,stale,normal,0.515257,667,0.001258
counting,1,medium,poor,expired,critical,0.276834,412,0.000876
counting,1,medium,poor,expired,normal,0.29435,706,0.00069
counting,1,medium,poor,fresh,critical,0.347215,412,0.001058
counting,1,medium,poor,fresh,normal,0.369087,706,0.000869
counting,1,medium,poor,stale,critical,0.319381,412,0.000976
counting,1,medium,poor,stale,normal,0.339622,706,0.000788
counting,2,bad,good,expired,critical,0.554826,267,0.00209
counting,2,bad,good,expired,normal,0.58819,617,0.001384
counting,2,bad,good,fresh,critical,0.556307,267,0.002058
counting,2,bad,good,fresh,normal,0.588219,617,0.001314
counting,2,bad,good,stale,critical,0.554631,267,0.00203
counting,2,bad,good,stale,normal,0.586885,617,0.00133
counting,2,bad,medium,expired,critical,0.463362,411,0.001449
counting,2,bad,medium,expired,normal,0.491991,667,0.001165
counting,2,bad,medium,fresh,critical,0.46488,411,0.001462
counting,2,bad,medium,fresh,normal,0.490978,667,0.001147
counting,2,bad,medium,stale,critical,0.464459,411,0.001409
counting,2,bad,medium,stale,normal,0.491074,667,0.001174
counting,2,bad,poor,expired,critical,0.346601,412,0.001066
counting,2,bad,poor,expired,normal,0.365664,706,0.000873
counting,2,bad,poor,fresh,critical,0.345404,412,0.001072
counting,2,bad,poor,fresh,normal,0.366642,706,0.000841
counting,2,bad,poor,stale,critical,0.345721,412,0.001123
counting,2,bad,poor,stale,normal,0.36667,706,0.00085
counting,2,good,good,expired,critical,0.786237,267,0.003047
counting,2,good,good,expired,normal,0.831774,617,0.00187
counting,2,good,good,fresh,critical,0.787936,267,0.002889
counting,2,good,good,fresh,normal,0.832613,617,0.001943
counting,2,good,good,stale,critical,0.783768,267,0.002918
counting,2,good,good,stale,normal,0.832522,617,0.002031
