question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,good,expired,critical,0.855422,83,0.075659,0.0,0.0
counting,0,bad,good,expired,normal,0.326389,144,0.076586,0.0,0.0
counting,0,bad,good,fresh,critical,0.879518,83,0.070033,0.0,0.0
counting,0,bad,good,fresh,normal,0.597222,144,0.080108,0.0,0.0
counting,0,bad,good,stale,critical,0.843373,83,0.078192,0.0,0.0
counting,0,bad,good,stale,normal,0.527778,144,0.081541,0.0,0.0
counting,0,bad,medium,expired,critical,0.920455,88,0.056536,0.0,0.0
counting,0,bad,medium,expired,normal,0.36,125,0.084148,0.0,0.0
counting,0,bad,medium,fresh,critical,0.943182,88,0.048368,0.0,0.0
counting,0,bad,medium,fresh,normal,0.592,125,0.086157,0.0,0.0
counting,0,bad,medium,stale,critical,0.920455,88,0.056536,0.0,0.0
counting,0,bad,medium,stale,normal,0.504,125,0.087651,0.0,0.0
counting,0,bad,poor,expired,critical,0.912281,57,0.07344,0.0,0.0
counting,0,bad,poor,expired,normal,0.307229,166,0.070182,0.0,0.0
counting,0,bad,poor,fresh,critical,0.929825,57,0.066315,0.0,0.0
counting,0,bad,poor,fresh,normal,0.548193,166,0.075709,0.0,0.0
counting,0,bad,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,bad,poor,stale,normal,0.445783,166,0.075614,0.0,0.0
counting,0,good,good,expired,critical,0.879518,83,0.070033,0.0,0.0
counting,0,good,good,expired,normal,0.402778,144,0.080108,0.0,0.0
counting,0,good,good,fresh,critical,0.891566,83,0.066892,0.0,0.0
counting,0,good,good,fresh,normal,0.597222,144,0.080108,0.0,0.0
counting,0,good,good,stale,critical,0.891566,83,0.066892,0.0,0.0
counting,0,good,good,stale,normal,0.513889,144,0.081635,0.0,0.0
counting,0,good,medium,expired,critical,0.852273,88,0.074137,0.0,0.0
counting,0,good,medium,expired,normal,0.304,125,0.080639,0.0,0.0
counting,0,good,medium,fresh,critical,0.931818,88,0.052664,0.0,0.0
counting,0,good,medium,fresh,normal,0.616,125,0.085262,0.0,0.0
counting,0,good,medium,stale,critical,0.920455,88,0.056536,0.0,0.0
counting,0,good,medium,stale,normal,0.472,125,0.087516,0.0,0.0
counting,0,good,poor,expired,critical,0.859649,57,0.090175,0.0,0.0
counting,0,good,poor,expired,normal,0.289157,166,0.068969,0.0,0.0
counting,0,good,poor,fresh,critical,0.947368,57,0.05797,0.0,0.0
counting,0,good,poor,fresh,normal,0.608434,166,0.074253,0.0,0.0
counting,0,good,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,good,poor,stale,normal,0.457831,166,0.075792,0.0,0.0
counting,0,medium,good,expired,critical,0.843373,83,0.078192,0.0,0.0
counting,0,medium,good,expired,normal,0.305556,144,0.075238,0.0,0.0
counting,0,medium,good,fresh,critical,0.891566,83,0.066892,0.0,0.0
counting,0,medium,good,fresh,normal,0.548611,144,0.08128,0.0,0.0
counting,0,medium,good,stale,critical,0.891566,83,0.066892,0.0,0.0
counting,0,medium,good,stale,normal,0.493056,144,0.081659,0.0,0.0
counting,0,medium,medium,expired,critical,0.840909,88,0.076421,0.0,0.0
counting,0,medium,medium,expired,normal,0.336,125,0.082805,0.0,0.0
counting,0,medium,medium,fresh,critical,0.875,88,0.069099,0.0,0.0
counting,0,medium,medium,fresh,normal,0.616,125,0.085262,0.0,0.0
counting,0,medium,medium,stale,critical,0.909091,88,0.060065,0.0,0.0
counting,0,medium,medium,stale,normal,0.512,125,0.087629,0.0,0.0
counting,0,medium,poor,expired,critical,0.894737,57,0.079672,0.0,0.0
counting,0,medium,poor,expired,normal,0.313253,166,0.070558,0.0,0.0
counting,0,medium,poor,fresh,critical,0.929825,57,0.066315,0.0,0.0
counting,0,medium,poor,fresh,normal,0.638554,166,0.073084,0.0,0.0
counting,0,medium,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,medium,poor,stale,normal,0.590361,166,0.07481,0.0,0.0
counting,1,bad,good,expired,critical,0.012048,83,0.023472,721.133,0.704231
counting,1,bad,good,expired,normal,0.416667,144,0.080524,476.632,0.465461
counting,1,bad,good,fresh,critical,0.012048,83,0.023472,721.133,0.704231
counting,1,bad,good,fresh,normal,0.416667,144,0.080524,476.632,0.465461
counting,1,bad,good,stale,critical,0.012048,83,0.023472,721.133,0.704231
counting,1,bad,good,stale,normal,0.416667,144,0.080524,476.632,0.465461
counting,1,bad,medium,expired,critical,0.011364,88,0.022146,708.898,0.692283
counting,1,bad,medium,expired,normal,0.272,125,0.07801,461.224,0.450414
counting,1,bad,medium,fresh,critical,0.011364,88,0.022146,708.898,0.692283
counting,1,bad,medium,fresh,normal,0.272,125,0.07801,461.224,0.450414
counting,1,bad,medium,stale,critical,0.011364,88,0.022146,708.898,0.692283
counting,1,bad,medium,stale,normal,0.272,125,0.07801,461.224,0.450414
counting,1,bad,poor,expired,critical,0.0,57,0.0,674.526,0.658717
counting,1,bad,poor,expired,normal,0.307229,166,0.070182,467.283,0.456331
counting,1,bad,poor,fresh,critical,0.0,57,0.0,674.526,0.658717
counting,1,bad,poor,fresh,normal,0.307229,166,0.070182,467.283,0.456331
counting,1,bad,poor,stale,critical,0.0,57,0.0,674.526,0.658717
counting,1,bad,poor,stale,normal,0.307229,166,0.070182,467.283,0.456331
counting,1,good,good,expired,critical,0.180723,83,0.082783,769.217,0.751188
counting,1,good,good,expired,normal,0.444444,144,0.081161,532.014,0.519545
counting,1,good,good,fresh,critical,0.180723,83,0.082783,769.217,0.751188
counting,1,good,good,fresh,normal,0.444444,144,0.081161,532.014,0.519545
counting,1,good,good,stale,critical,0.180723,83,0.082783,769.217,0.751188
counting,1,good,good,stale,normal,0.444444,144,0.081161,532.014,0.519545
counting,1,good,medium,expired,critical,0.079545,88,0.056536,753.648,0.735984
counting,1,good,medium,expired,normal,0.296,125,0.080026,500.08,0.488359
counting,1,good,medium,fresh,critical,0.079545,88,0.056536,753.648,0.735984
counting,1,good,medium,fresh,normal,0.296,125,0.080026,500.08,0.488359
counting,1,good,medium,stale,critical,0.079545,88,0.056536,753.648,0.735984
counting,1,good,medium,stale,normal,0.296,125,0.080026,500.08,0.488359
counting,1,good,poor,expired,critical,0.140351,57,0.090175,747.667,0.730143
counting,1,good,poor,expired,normal,0.289157,166,0.068969,520.434,0.508236
counting,1,good,poor,fresh,critical,0.140351,57,0.090175,747.667,0.730143
counting,1,good,poor,fresh,normal,0.289157,166,0.068969,520.434,0.508236
counting,1,good,poor,stale,critical,0.140351,57,0.090175,747.667,0.730143
counting,1,good,poor,stale,normal,0.289157,166,0.068969,520.434,0.508236
counting,1,medium,good,expired,critical,0.168675,83,0.080561,764.373,0.746458
counting,1,medium,good,expired,normal,0.4375,144,0.081026,526.41,0.514072
counting,1,medium,good,fresh,critical,0.168675,83,0.080561,764.373,0.746458
counting,1,medium,good,fresh,normal,0.4375,144,0.081026,526.41,0.514072
counting,1,medium,good,stale,critical,0.168675,83,0.080561,764.373,0.746458
counting,1,medium,good,stale,normal,0.4375,144,0.081026,526.41,0.514072
counting,1,medium,medium,expired,critical,0.045455,88,0.043521,747.227,0.729714
counting,1,medium,medium,expired,normal,0.288,125,0.079385,494.312,0.482727
counting,1,medium,medium,fresh,critical,0.045455,88,0.043521,747.227,0.729714
counting,1,medium,medium,fresh,normal,0.288,125,0.079385,494.312,0.482727
counting,1,medium,medium,stale,critical,0.045455,88,0.043521,747.227,0.729714
counting,1,medium,medium,stale,normal,0.288,125,0.079385,494.312,0.482727
counting,1,medium,poor,expired,critical,0.122807,57,0.085207,742.053,0.724661
counting,1,medium,poor,expired,normal,0.246988,166,0.065606,510.657,0.498688
counting,1,medium,poor,fresh,critical,0.122807,57,0.085207,742.053,0.724661
counting,1,medium,poor,fresh,normal,0.246988,166,0.065606,510.657,0.498688
counting,1,medium,poor,stale,critical,0.122807,57,0.085207,742.053,0.724661
counting,1,medium,poor,stale,normal,0.246988,166,0.065606,510.657,0.498688
counting,2,bad,good,expired,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,expired,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,good,fresh,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,fresh,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,good,stale,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,stale,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,medium,expired,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,expired,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,medium,fresh,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,fresh,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,medium,stale,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,stale,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,poor,expired,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,expired,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,bad,poor,fresh,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,fresh,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,bad,poor,stale,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,stale,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,good,good,expired,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,expired,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,good,fresh,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,fresh,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,good,stale,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,stale,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,medium,expired,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,expired,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,medium,fresh,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,fresh,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,medium,stale,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,stale,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,poor,expired,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,expired,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,good,poor,fresh,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,fresh,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,good,poor,stale,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,stale,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,medium,good,expired,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,expired,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,good,fresh,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,fresh,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,good,stale,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,stale,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,medium,expired,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,expired,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,medium,fresh,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,fresh,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,medium,stale,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,stale,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,poor,expired,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,expired,normal,0.451807,166,0.075709,64197.771,62.693136
counting,2,medium,poor,fresh,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,fresh,normal,0.451807,166,0.075709,64197.771,62.693136
counting,2,medium,poor,stale,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,stale,normal,0.451807,166,0.075709,64197.771,62.693136
presence,0,bad,good,expired,critical,0.376712,146,0.078601,0.0,0.0
presence,0,bad,good,expired,normal,0.332155,283,0.054875,0.0,0.0
presence,0,bad,good,fresh,critical,0.650685,146,0.077335,0.0,0.0
presence,0,bad,good,fresh,normal,0.628975,283,0.056283,0.0,0.0
presence,0,bad,good,stale,critical,0.541096,146,0.080831,0.0,0.0
presence,0,bad,good,stale,normal,0.611307,283,0.056793,0.0,0.0
presence,0,bad,medium,expired,critical,0.333333,171,0.070656,0.0,0.0
presence,0,bad,medium,expired,normal,0.346429,280,0.055735,0.0,0.0
presence,0,bad,medium,fresh,critical,0.608187,171,0.073167,0.0,0.0
presence,0,bad,medium,fresh,normal,0.667857,280,0.055167,0.0,0.0
presence,0,bad,medium,stale,critical,0.467836,171,0.074787,0.0,0.0
presence,0,bad,medium,stale,normal,0.589286,280,0.057625,0.0,0.0
presence,0,bad,poor,expired,critical,0.369565,138,0.080535,0.0,0.0
presence,0,bad,poor,expired,normal,0.355482,301,0.054075,0.0,0.0
presence,0,bad,poor,fresh,critical,0.572464,138,0.082542,0.0,0.0
presence,0,bad,poor,fresh,normal,0.671096,301,0.053076,0.0,0.0
presence,0,bad,poor,stale,critical,0.449275,138,0.082993,0.0,0.0
presence,0,bad,poor,stale,normal,0.524917,301,0.056416,0.0,0.0
presence,0,good,good,expired,critical,0.315068,146,0.075354,0.0,0.0
presence,0,good,good,expired,normal,0.363958,283,0.056057,0.0,0.0
presence,0,good,good,fresh,critical,0.671233,146,0.076201,0.0,0.0
presence,0,good,good,fresh,normal,0.699647,283,0.053409,0.0,0.0
presence,0,good,good,stale,critical,0.582192,146,0.080002,0.0,0.0
presence,0,good,good,stale,normal,0.508834,283,0.058246,0.0,0.0
presence,0,good,medium,expired,critical,0.25731,171,0.065522,0.0,0.0
presence,0,good,medium,expired,normal,0.357143,280,0.056125,0.0,0.0
presence,0,good,medium,fresh,critical,0.643275,171,0.0718,0.0,0.0
presence,0,good,medium,fresh,normal,0.671429,280,0.055016,0.0,0.0
presence,0,good,medium,stale,critical,0.479532,171,0.07488,0.0,0.0
presence,0,good,medium,stale,normal,0.507143,280,0.05856,0.0,0.0
presence,0,good,poor,expired,critical,0.362319,138,0.080198,0.0,0.0
presence,0,good,poor,expired,normal,0.378738,301,0.0548,0.0,0.0
presence,0,good,poor,fresh,critical,0.652174,138,0.079466,0.0,0.0
presence,0,good,poor,fresh,normal,0.674419,301,0.052938,0.0,0.0
presence,0,good,poor,stale,critical,0.478261,138,0.083344,0.0,0.0
presence,0,good,poor,stale,normal,0.591362,301,0.055535,0.0,0.0
presence,0,medium,good,expired,critical,0.424658,146,0.080179,0.0,0.0
presence,0,medium,good,expired,normal,0.321555,283,0.054419,0.0,0.0
presence,0,medium,good,fresh,critical,0.636986,146,0.078002,0.0,0.0
presence,0,medium,good,fresh,normal,0.70318,283,0.053228,0.0,0.0
presence,0,medium,good,stale,critical,0.561644,146,0.080487,0.0,0.0
presence,0,medium,good,stale,normal,0.515901,283,0.058225,0.0,0.0
presence,0,medium,medium,expired,critical,0.356725,171,0.0718,0.0,0.0
presence,0,medium,medium,expired,normal,0.382143,280,0.056916,0.0,0.0
presence,0,medium,medium,fresh,critical,0.561404,171,0.074375,0.0,0.0
presence,0,medium,medium,fresh,normal,0.689286,280,0.054207,0.0,0.0
presence,0,medium,medium,stale,critical,0.502924,171,0.074941,0.0,0.0
presence,0,medium,medium,stale,normal,0.5,280,0.058566,0.0,0.0
presence,0,medium,poor,expired,critical,0.405797,138,0.081929,0.0,0.0
presence,0,medium,poor,expired,normal,0.401993,301,0.05539,0.0,0.0
presence,0,medium,poor,fresh,critical,0.565217,138,0.08271,0.0,0.0
presence,0,medium,poor,fresh,normal,0.674419,301,0.052938,0.0,0.0
presence,0,medium,poor,stale,critical,0.405797,138,0.081929,0.0,0.0
presence,0,medium,poor,stale,normal,0.55814,301,0.056103,0.0,0.0
presence,1,bad,good,expired,critical,0.979452,146,0.023012,691.836,0.675621
presence,1,bad,good,expired,normal,0.840989,283,0.042606,468.724,0.457739
presence,1,bad,good,fresh,critical,0.979452,146,0.023012,691.836,0.675621
presence,1,bad,good,fresh,normal,0.840989,283,0.042606,468.724,0.457739
presence,1,bad,good,stale,critical,0.979452,146,0.023012,691.836,0.675621
presence,1,bad,good,stale,normal,0.840989,283,0.042606,468.724,0.457739
presence,1,bad,medium,expired,critical,0.976608,171,0.022654,686.509,0.670419
presence,1,bad,medium,expired,normal,0.85,280,0.041825,459.168,0.448406
presence,1,bad,medium,fresh,critical,0.976608,171,0.022654,686.509,0.670419
presence,1,bad,medium,fresh,normal,0.85,280,0.041825,459.168,0.448406
presence,1,bad,medium,stale,critical,0.976608,171,0.022654,686.509,0.670419
presence,1,bad,medium,stale,normal,0.85,280,0.041825,459.168,0.448406
presence,1,bad,poor,expired,critical,0.978261,138,0.024331,658.471,0.643038
presence,1,bad,poor,expired,normal,0.79402,301,0.045688,461.558,0.45074
presence,1,bad,poor,fresh,critical,0.978261,138,0.024331,658.471,0.643038
presence,1,bad,poor,fresh,normal,0.79402,301,0.045688,461.558,0.45074
presence,1,bad,poor,stale,critical,0.978261,138,0.024331,658.471,0.643038
presence,1,bad,poor,stale,normal,0.79402,301,0.045688,461.558,0.45074
presence,1,good,good,expired,critical,1.0,146,0.0,748.281,0.730743
presence,1,good,good,expired,normal,0.943463,283,0.026909,518.449,0.506298
presence,1,good,good,fresh,critical,1.0,146,0.0,748.281,0.730743
presence,1,good,good,fresh,normal,0.943463,283,0.026909,518.449,0.506298
presence,1,good,good,stale,critical,1.0,146,0.0,748.281,0.730743
presence,1,good,good,stale,normal,0.943463,283,0.026909,518.449,0.506298
presence,1,good,medium,expired,critical,1.0,171,0.0,743.251,0.725832
presence,1,good,medium,expired,normal,0.928571,280,0.030166,498.789,0.487099
presence,1,good,medium,fresh,critical,1.0,171,0.0,743.251,0.725832
presence,1,good,medium,fresh,normal,0.928571,280,0.030166,498.789,0.487099
presence,1,good,medium,stale,critical,1.0,171,0.0,743.251,0.725832
presence,1,good,medium,stale,normal,0.928571,280,0.030166,498.789,0.487099
presence,1,good,poor,expired,critical,1.0,138,0.0,734.572,0.717356
presence,1,good,poor,expired,normal,0.900332,301,0.033842,506.668,0.494793
presence,1,good,poor,fresh,critical,1.0,138,0.0,734.572,0.717356
presence,1,good,poor,fresh,normal,0.900332,301,0.033842,506.668,0.494793
presence,1,good,poor,stale,critical,1.0,138,0.0,734.572,0.717356
presence,1,good,poor,stale,normal,0.900332,301,0.033842,506.668,0.494793
presence,1,medium,good,expired,critical,0.993151,146,0.013379,742.432,0.725031
presence,1,medium,good,expired,normal,0.936396,283,0.028434,513.007,0.500983
presence,1,medium,good,fresh,critical,0.993151,146,0.013379,742.432,0.725031
presence,1,medium,good,fresh,normal,0.936396,283,0.028434,513.007,0.500983
presence,1,medium,good,stale,critical,0.993151,146,0.013379,742.432,0.725031
presence,1,medium,good,stale,normal,0.936396,283,0.028434,513.007,0.500983
presence,1,medium,medium,expired,critical,1.0,171,0.0,738.427,0.72112
presence,1,medium,medium,expired,normal,0.925,280,0.030852,493.593,0.482024
presence,1,medium,medium,fresh,critical,1.0,171,0.0,738.427,0.72112
presence,1,medium,medium,fresh,normal,0.925,280,0.030852,493.593,0.482024
presence,1,medium,medium,stale,critical,1.0,171,0.0,738.427,0.72112
presence,1,medium,medium,stale,normal,0.925,280,0.030852,493.593,0.482024
