image_id,channel_bin,view_quality_bin,target_class,gt_count,detector_target_count,transmitted_detector_count,calibrated_detector_count,abs_detector_count_error,question,ground_truth_answer,predicted_answer,correct
0000001_02999_d_0000005,bad,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,bad,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,bad,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,medium,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,good,poor,awning-tricycle,17,0,0,0,17,How many awning-tricycle objects are in this area?,17,0,False
0000001_02999_d_0000005,bad,poor,car,14,10,3,7,4,How many car objects are in this area?,14,7,False
0000001_02999_d_0000005,bad,poor,car,14,10,3,7,4,How many car objects are in this area?,14,7,False
0000001_02999_d_0000005,bad,poor,car,14,10,3,7,4,How many car objects are in this area?,14,7,False
0000001_02999_d_0000005,medium,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_02999_d_0000005,medium,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_02999_d_0000005,medium,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_02999_d_0000005,good,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_02999_d_0000005,good,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_02999_d_0000005,good,poor,car,14,10,10,10,4,How many car objects are in this area?,14,10,False
0000001_03499_d_0000006,bad,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,bad,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,bad,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,good,poor,awning-tricycle,2,0,0,0,2,How many awning-tricycle objects are in this area?,2,0,False
0000001_03499_d_0000006,medium,poor,car,16,11,10,10,5,How many car objects are in this area?,16,10,False
0000001_03499_d_0000006,medium,poor,car,16,11,10,10,5,How many car objects are in this area?,16,10,False
0000001_03499_d_0000006,medium,poor,car,16,11,10,10,5,How many car objects are in this area?,16,10,False
0000001_03499_d_0000006,good,poor,car,16,11,11,11,5,How many car objects are in this area?,16,11,False
0000001_03499_d_0000006,good,poor,car,16,11,11,11,5,How many car objects are in this area?,16,11,False
0000001_03499_d_0000006,good,poor,car,16,11,11,11,5,How many car objects are in this area?,16,11,False
0000001_03999_d_0000007,bad,poor,car,3,3,3,7,0,How many car objects are in this area?,3,7,False
0000001_03999_d_0000007,bad,poor,car,3,3,3,7,0,How many car objects are in this area?,3,7,False
0000001_03999_d_0000007,bad,poor,car,3,3,3,7,0,How many car objects are in this area?,3,7,False
0000001_03999_d_0000007,bad,poor,motor,17,11,3,12,6,How many motor objects are in this area?,17,12,False
0000001_03999_d_0000007,bad,poor,motor,17,11,3,12,6,How many motor objects are in this area?,17,12,False
0000001_03999_d_0000007,bad,poor,motor,17,11,3,12,6,How many motor objects are in this area?,17,12,False
0000001_03999_d_0000007,medium,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_03999_d_0000007,medium,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_03999_d_0000007,medium,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_03999_d_0000007,good,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_03999_d_0000007,good,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_03999_d_0000007,good,poor,motor,17,11,11,11,6,How many motor objects are in this area?,17,11,False
0000001_04527_d_0000008,bad,poor,car,5,2,1,1,3,How many car objects are in this area?,5,1,False
0000001_04527_d_0000008,bad,poor,car,5,2,1,1,3,How many car objects are in this area?,5,1,False
0000001_04527_d_0000008,bad,poor,car,5,2,1,1,3,How many car objects are in this area?,5,1,False
0000001_04527_d_0000008,medium,poor,car,5,2,2,2,3,How many car objects are in this area?,5,2,False
0000001_04527_d_0000008,medium,poor,car,5,2,2,2,3,How many car objects are in this area?,5,2,False
0000001_04527_d_0000008,medium,poor,car,5,2,2,2,3,How many car objects are in this area?,5,2,False
0000001_04527_d_0000008,good,poor,car,5,2,2,2,3,How many car objects are in this area?,5,2,False
