image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b
0000001_02999_d_0000005,comparison,Are there more motor than people objects in this area?,yes,motor,50,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,,people
0000001_03499_d_0000006,comparison,Are there more people than motor objects in this area?,no,people,22,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,,motor
0000001_03999_d_0000007,comparison,Are there more motor than people objects in this area?,yes,motor,17,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,,people
0000001_04527_d_0000008,comparison,Are there more pedestrian than motor objects in this area?,no,pedestrian,28,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,,motor
0000001_05249_d_0000009,comparison,Are there more car than motor objects in this area?,yes,car,76,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,,motor
0000001_05499_d_0000010,comparison,Are there more motor than car objects in this area?,no,motor,31,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,,car
0000001_05999_d_0000011,comparison,Are there more pedestrian than car objects in this area?,yes,pedestrian,39,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,,car
0000001_07999_d_0000012,comparison,Are there more motor than pedestrian objects in this area?,no,motor,36,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,,pedestrian
0000001_08414_d_0000013,comparison,Are there more people than motor objects in this area?,yes,people,54,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,,motor
0000021_00000_d_0000001,comparison,Are there more pedestrian than people objects in this area?,no,pedestrian,9,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,,people
0000021_00500_d_0000002,comparison,Are there more pedestrian than tricycle objects in this area?,yes,pedestrian,7,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,,tricycle
0000021_00800_d_0000003,comparison,Are there more tricycle than pedestrian objects in this area?,no,tricycle,2,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,,pedestrian
0000022_00000_d_0000004,comparison,Are there more pedestrian than people objects in this area?,yes,pedestrian,23,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,,people
0000022_00500_d_0000005,comparison,Are there more people than pedestrian objects in this area?,no,people,8,normal,0.65,5.0,poor,0.061535,0.8125,0.0,32.0,,pedestrian
