block	arm	seed	exit	start	end	dir
flat	flat_ppo	0	0	2026-07-09T23:32:03	2026-07-09T23:34:55	outputs/rl/flat_ppo_v8/flat_ppo_0
flat	flat_ppo_nom	0	0	2026-07-09T23:34:55	2026-07-09T23:35:16	outputs/rl/flat_ppo_v8/flat_ppo_nom_0
flat	flat_ppo	1	0	2026-07-09T23:35:16	2026-07-09T23:38:10	outputs/rl/flat_ppo_v8/flat_ppo_1
flat	flat_ppo_nom	1	0	2026-07-09T23:38:10	2026-07-09T23:38:32	outputs/rl/flat_ppo_v8/flat_ppo_nom_1
flat	flat_ppo	2	0	2026-07-09T23:38:32	2026-07-09T23:41:23	outputs/rl/flat_ppo_v8/flat_ppo_2
flat	flat_ppo_nom	2	0	2026-07-09T23:41:23	2026-07-09T23:41:45	outputs/rl/flat_ppo_v8/flat_ppo_nom_2
m3	quality_off	0	0	2026-07-09T23:41:45	2026-07-09T23:45:22	outputs/rl/m3_ablation_v8/quality_off_0
m3	quality_off	1	0	2026-07-09T23:45:22	2026-07-09T23:48:58	outputs/rl/m3_ablation_v8/quality_off_1
m3	quality_off	2	0	2026-07-09T23:48:58	2026-07-09T23:52:33	outputs/rl/m3_ablation_v8/quality_off_2
m3	warm_start	0	0	2026-07-09T23:52:33	2026-07-09T23:56:10	outputs/rl/m3_ablation_v8/warm_start_0
m3	warm_start	1	0	2026-07-09T23:56:10	2026-07-09T23:59:43	outputs/rl/m3_ablation_v8/warm_start_1
m3	warm_start	2	0	2026-07-09T23:59:43	2026-07-10T00:03:19	outputs/rl/m3_ablation_v8/warm_start_2
m3	no_slow_head	0	0	2026-07-10T00:03:19	2026-07-10T00:06:42	outputs/rl/m3_ablation_v8/no_slow_head_0
m3	no_slow_head	1	0	2026-07-10T00:06:42	2026-07-10T00:10:07	outputs/rl/m3_ablation_v8/no_slow_head_1
m3	no_slow_head	2	0	2026-07-10T00:10:07	2026-07-10T00:13:28	outputs/rl/m3_ablation_v8/no_slow_head_2
m4_uav	n2_proposed	0	0	2026-07-10T00:13:28	2026-07-10T00:13:43	outputs/rl/m4_generalization_v8/uav/n2_proposed_0
m4_uav	n2_proposed	1	0	2026-07-10T00:13:43	2026-07-10T00:13:59	outputs/rl/m4_generalization_v8/uav/n2_proposed_1
m4_uav	n2_proposed	2	0	2026-07-10T00:13:59	2026-07-10T00:14:14	outputs/rl/m4_generalization_v8/uav/n2_proposed_2
m4_uav	n2_no_lagrangian	0	0	2026-07-10T00:14:14	2026-07-10T00:14:30	outputs/rl/m4_generalization_v8/uav/n2_no_lagrangian_0
m4_uav	n2_no_lagrangian	1	0	2026-07-10T00:14:30	2026-07-10T00:14:45	outputs/rl/m4_generalization_v8/uav/n2_no_lagrangian_1
m4_uav	n2_no_lagrangian	2	0	2026-07-10T00:14:45	2026-07-10T00:15:00	outputs/rl/m4_generalization_v8/uav/n2_no_lagrangian_2
m4_uav	n2_fixed_penalty	0	0	2026-07-10T00:15:00	2026-07-10T00:15:15	outputs/rl/m4_generalization_v8/uav/n2_fixed_penalty_0
m4_uav	n2_fixed_penalty	1	0	2026-07-10T00:15:15	2026-07-10T00:15:30	outputs/rl/m4_generalization_v8/uav/n2_fixed_penalty_1
m4_uav	n2_fixed_penalty	2	0	2026-07-10T00:15:30	2026-07-10T00:15:44	outputs/rl/m4_generalization_v8/uav/n2_fixed_penalty_2
m4_uav	n2_bl_semantic_greedy	0	0	2026-07-10T00:15:44	2026-07-10T00:15:57	outputs/rl/m4_generalization_v8/uav/n2_bl_semantic_greedy_0
m4_uav	n2_bl_oracle_escalation_aware	0	0	2026-07-10T00:15:57	2026-07-10T00:16:11	outputs/rl/m4_generalization_v8/uav/n2_bl_oracle_escalation_aware_0
m4_uav	n3_proposed	0	0	2026-07-10T00:16:11	2026-07-10T00:16:26	outputs/rl/m4_generalization_v8/uav/n3_proposed_0
m4_uav	n3_proposed	1	0	2026-07-10T00:16:26	2026-07-10T00:16:42	outputs/rl/m4_generalization_v8/uav/n3_proposed_1
m4_uav	n3_proposed	2	0	2026-07-10T00:16:42	2026-07-10T00:16:58	outputs/rl/m4_generalization_v8/uav/n3_proposed_2
m4_uav	n3_no_lagrangian	0	0	2026-07-10T00:16:58	2026-07-10T00:17:15	outputs/rl/m4_generalization_v8/uav/n3_no_lagrangian_0
m4_uav	n3_no_lagrangian	1	0	2026-07-10T00:17:15	2026-07-10T00:17:31	outputs/rl/m4_generalization_v8/uav/n3_no_lagrangian_1
m4_uav	n3_no_lagrangian	2	0	2026-07-10T00:17:31	2026-07-10T00:17:47	outputs/rl/m4_generalization_v8/uav/n3_no_lagrangian_2
m4_uav	n3_fixed_penalty	0	0	2026-07-10T00:17:47	2026-07-10T00:18:02	outputs/rl/m4_generalization_v8/uav/n3_fixed_penalty_0
m4_uav	n3_fixed_penalty	1	0	2026-07-10T00:18:02	2026-07-10T00:18:17	outputs/rl/m4_generalization_v8/uav/n3_fixed_penalty_1
m4_uav	n3_fixed_penalty	2	0	2026-07-10T00:18:17	2026-07-10T00:18:33	outputs/rl/m4_generalization_v8/uav/n3_fixed_penalty_2
m4_uav	n3_bl_semantic_greedy	0	0	2026-07-10T00:18:33	2026-07-10T00:18:45	outputs/rl/m4_generalization_v8/uav/n3_bl_semantic_greedy_0
m4_uav	n3_bl_oracle_escalation_aware	0	0	2026-07-10T00:18:45	2026-07-10T00:19:01	outputs/rl/m4_generalization_v8/uav/n3_bl_oracle_escalation_aware_0
m4_uav	n4_proposed	0	0	2026-07-10T00:19:01	2026-07-10T00:19:17	outputs/rl/m4_generalization_v8/uav/n4_proposed_0
m4_uav	n4_proposed	1	0	2026-07-10T00:19:17	2026-07-10T00:19:34	outputs/rl/m4_generalization_v8/uav/n4_proposed_1
m4_uav	n4_proposed	2	0	2026-07-10T00:19:34	2026-07-10T00:19:49	outputs/rl/m4_generalization_v8/uav/n4_proposed_2
m4_uav	n4_no_lagrangian	0	0	2026-07-10T00:19:49	2026-07-10T00:20:08	outputs/rl/m4_generalization_v8/uav/n4_no_lagrangian_0
m4_uav	n4_no_lagrangian	1	0	2026-07-10T00:20:08	2026-07-10T00:20:25	outputs/rl/m4_generalization_v8/uav/n4_no_lagrangian_1
m4_uav	n4_no_lagrangian	2	0	2026-07-10T00:20:25	2026-07-10T00:20:41	outputs/rl/m4_generalization_v8/uav/n4_no_lagrangian_2
