image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b,threshold_n
0000001_02999_d_0000005,co_presence,Are there both awning-tricycle and bicycle objects in this area?,no,awning-tricycle,17,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,,bicycle,
0000001_02999_d_0000005,threshold,Are there at least 20 awning-tricycle objects in this area?,no,awning-tricycle,17,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,,,20
0000001_03499_d_0000006,co_presence,Are there both awning-tricycle and car objects in this area?,yes,awning-tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,,car,
0000001_03499_d_0000006,threshold,Are there at least 2 awning-tricycle objects in this area?,yes,awning-tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,,,2
0000001_03999_d_0000007,co_presence,Are there both car and bicycle objects in this area?,no,car,3,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,,bicycle,
0000001_03999_d_0000007,threshold,Are there at least 6 car objects in this area?,no,car,3,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,,,6
0000001_04527_d_0000008,co_presence,Are there both awning-tricycle and car objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,,car,
0000001_04527_d_0000008,threshold,Are there at least 1 awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.065229,0.730435,0.026087,115.0,,,1
0000001_05249_d_0000009,co_presence,Are there both car and bicycle objects in this area?,no,car,76,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,,bicycle,
0000001_05249_d_0000009,threshold,Are there at least 79 car objects in this area?,no,car,76,critical,0.82,3.0,poor,0.141546,0.787611,0.017699,113.0,,,79
0000001_05499_d_0000010,co_presence,Are there both awning-tricycle and car objects in this area?,yes,awning-tricycle,11,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,,car,
0000001_05499_d_0000010,threshold,Are there at least 11 awning-tricycle objects in this area?,yes,awning-tricycle,11,critical,0.82,3.0,poor,0.283162,0.678571,0.014286,140.0,,,11
0000001_05999_d_0000011,co_presence,Are there both awning-tricycle and bicycle objects in this area?,no,awning-tricycle,3,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,,bicycle,
0000001_05999_d_0000011,threshold,Are there at least 6 awning-tricycle objects in this area?,no,awning-tricycle,3,normal,0.65,5.0,poor,0.168431,0.634783,0.008696,115.0,,,6
0000001_07999_d_0000012,co_presence,Are there both car and motor objects in this area?,yes,car,10,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,,motor,
0000001_07999_d_0000012,threshold,Are there at least 10 car objects in this area?,yes,car,10,critical,0.82,3.0,poor,0.067588,0.507353,0.014706,136.0,,,10
0000001_08414_d_0000013,co_presence,Are there both awning-tricycle and bicycle objects in this area?,no,awning-tricycle,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,,bicycle,
0000001_08414_d_0000013,threshold,Are there at least 4 awning-tricycle objects in this area?,no,awning-tricycle,1,normal,0.65,5.0,poor,0.102522,0.993902,0.006098,164.0,,,4
0000021_00000_d_0000001,co_presence,Are there both motor and pedestrian objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,,pedestrian,
0000021_00000_d_0000001,threshold,Are there at least 7 motor objects in this area?,yes,motor,7,normal,0.65,5.0,poor,0.081088,0.709677,0.064516,31.0,,,7
0000021_00500_d_0000002,co_presence,Are there both motor and bicycle objects in this area?,no,motor,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,,bicycle,
0000021_00500_d_0000002,threshold,Are there at least 6 motor objects in this area?,no,motor,3,normal,0.65,5.0,poor,0.075483,0.882353,0.058824,17.0,,,6
0000021_00800_d_0000003,co_presence,Are there both motor and pedestrian objects in this area?,yes,motor,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,,pedestrian,
0000021_00800_d_0000003,threshold,Are there at least 1 motor objects in this area?,yes,motor,1,normal,0.65,5.0,poor,0.062773,0.285714,0.0,7.0,,,1
0000022_00000_d_0000004,co_presence,Are there both motor and bicycle objects in this area?,no,motor,7,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,,bicycle,
0000022_00000_d_0000004,threshold,Are there at least 10 motor objects in this area?,no,motor,7,normal,0.65,5.0,poor,0.034374,0.833333,0.071429,42.0,,,10
0000022_00500_d_0000005,co_presence,Are there both motor and pedestrian objects in this area?,yes,motor,6,normal,0.65,5.0,poor,0.061535,0.8125,0.0,32.0,,pedestrian,
0000022_00500_d_0000005,threshold,Are there at least 6 motor objects in this area?,yes,motor,6,normal,0.65,5.0,poor,0.061535,0.8125,0.0,32.0,,,6
0000022_01036_d_0000006,co_presence,Are there both motor and bicycle objects in this area?,no,motor,2,normal,0.65,5.0,poor,0.103593,0.9375,0.0,16.0,,bicycle,
0000022_01036_d_0000006,threshold,Are there at least 5 motor objects in this area?,no,motor,2,normal,0.65,5.0,poor,0.103593,0.9375,0.0,16.0,,,5
0000022_01251_d_0000007,co_presence,Are there both motor and pedestrian objects in this area?,yes,motor,2,normal,0.65,5.0,medium,0.305603,0.583333,0.0,12.0,,pedestrian,
0000022_01251_d_0000007,threshold,Are there at least 2 motor objects in this area?,yes,motor,2,normal,0.65,5.0,medium,0.305603,0.583333,0.0,12.0,,,2
0000023_00000_d_0000008,co_presence,Are there both awning-tricycle and bicycle objects in this area?,no,awning-tricycle,2,normal,0.65,5.0,poor,0.037785,0.5,0.025,40.0,,bicycle,
0000023_00000_d_0000008,threshold,Are there at least 5 awning-tricycle objects in this area?,no,awning-tricycle,2,normal,0.65,5.0,poor,0.037785,0.5,0.025,40.0,,,5
0000023_00300_d_0000009,co_presence,Are there both awning-tricycle and motor objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.055333,1.0,0.0,30.0,,motor,
0000023_00300_d_0000009,threshold,Are there at least 1 awning-tricycle objects in this area?,yes,awning-tricycle,1,normal,0.65,5.0,poor,0.055333,1.0,0.0,30.0,,,1
0000023_00868_d_0000010,co_presence,Are there both motor and bicycle objects in this area?,no,motor,3,normal,0.65,5.0,poor,0.194819,0.75,0.0,20.0,,bicycle,
0000023_00868_d_0000010,threshold,Are there at least 6 motor objects in this area?,no,motor,3,normal,0.65,5.0,poor,0.194819,0.75,0.0,20.0,,,6
0000023_01233_d_0000011,co_presence,Are there both motor and pedestrian objects in this area?,yes,motor,2,normal,0.65,5.0,medium,0.34067,0.928571,0.0,14.0,,pedestrian,
0000023_01233_d_0000011,threshold,Are there at least 2 motor objects in this area?,yes,motor,2,normal,0.65,5.0,medium,0.34067,0.928571,0.0,14.0,,,2
