image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b
00001,comparison,Are there more car than truck objects in this area?,yes,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,,truck
00022,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,car
00025,comparison,Are there more car than truck objects in this area?,yes,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,truck
00031,comparison,Are there more truck than car objects in this area?,no,truck,2,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,car
00037,comparison,Are there more car than truck objects in this area?,yes,car,19,normal,0.65,5.0,medium,0.0,0.0,0.0,20.0,,truck
00040,comparison,Are there more truck than car objects in this area?,no,truck,1,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,car
00046,comparison,Are there more car than truck objects in this area?,yes,car,2,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,truck
00055,comparison,Are there more car than truck objects in this area?,no,car,1,critical,0.82,3.0,medium,0.0,0.0,0.0,5.0,,truck
00085,comparison,Are there more car than bus objects in this area?,yes,car,40,normal,0.65,5.0,medium,0.0,0.0,0.0,41.0,,bus
00094,comparison,Are there more truck than car objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,36.0,,car
00109,comparison,Are there more car than bus objects in this area?,yes,car,6,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,bus
00112,comparison,Are there more truck than car objects in this area?,no,truck,3,normal,0.65,5.0,medium,0.0,0.0,0.0,13.0,,car
00124,comparison,Are there more car than truck objects in this area?,yes,car,8,critical,0.82,3.0,medium,0.0,0.0,0.0,9.0,,truck
00130,comparison,Are there more bus than car objects in this area?,no,bus,1,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,car
00139,comparison,Are there more car than truck objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,truck
00142,comparison,Are there more truck than car objects in this area?,no,truck,2,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,car
00145,comparison,Are there more car than bus objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,6.0,,bus
00148,comparison,Are there more bus than car objects in this area?,no,bus,2,normal,0.65,5.0,medium,0.0,0.0,0.0,7.0,,car
00190,comparison,Are there more car than truck objects in this area?,yes,car,25,critical,0.82,3.0,medium,0.0,0.0,0.0,26.0,,truck
00193,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,14.0,,car
00199,comparison,Are there more car than truck objects in this area?,yes,car,10,normal,0.65,5.0,medium,0.0,0.0,0.0,12.0,,truck
00202,comparison,Are there more truck than car objects in this area?,no,truck,4,normal,0.65,5.0,medium,0.0,0.0,0.0,16.0,,car
00208,comparison,Are there more car than truck objects in this area?,yes,car,9,critical,0.82,3.0,medium,0.0,0.0,0.0,11.0,,truck
00211,comparison,Are there more truck than car objects in this area?,no,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,12.0,,car
