question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,good,expired,critical,0.75,24,0.173241,0.0,0.0
counting,0,bad,good,expired,normal,0.333333,66,0.113731,0.0,0.0
counting,0,bad,good,fresh,critical,0.916667,24,0.110577,0.0,0.0
counting,0,bad,good,fresh,normal,0.545455,66,0.12013,0.0,0.0
counting,0,bad,good,stale,critical,0.791667,24,0.16248,0.0,0.0
counting,0,bad,good,stale,normal,0.439394,66,0.11974,0.0,0.0
counting,0,bad,medium,expired,critical,0.916667,24,0.110577,0.0,0.0
counting,0,bad,medium,expired,normal,0.235294,34,0.142584,0.0,0.0
counting,0,bad,medium,fresh,critical,0.958333,24,0.079947,0.0,0.0
counting,0,bad,medium,fresh,normal,0.529412,34,0.167778,0.0,0.0
counting,0,bad,medium,stale,critical,0.916667,24,0.110577,0.0,0.0
counting,0,bad,medium,stale,normal,0.441176,34,0.166901,0.0,0.0
counting,0,bad,poor,expired,critical,0.9,30,0.107354,0.0,0.0
counting,0,bad,poor,expired,normal,0.304762,105,0.088046,0.0,0.0
counting,0,bad,poor,fresh,critical,0.933333,30,0.089262,0.0,0.0
counting,0,bad,poor,fresh,normal,0.514286,105,0.095599,0.0,0.0
counting,0,bad,poor,stale,critical,0.9,30,0.107354,0.0,0.0
counting,0,bad,poor,stale,normal,0.457143,105,0.095286,0.0,0.0
counting,0,good,good,expired,critical,0.875,24,0.132315,0.0,0.0
counting,0,good,good,expired,normal,0.484848,66,0.120574,0.0,0.0
counting,0,good,good,fresh,critical,0.875,24,0.132315,0.0,0.0
counting,0,good,good,fresh,normal,0.545455,66,0.12013,0.0,0.0
counting,0,good,good,stale,critical,0.875,24,0.132315,0.0,0.0
counting,0,good,good,stale,normal,0.484848,66,0.120574,0.0,0.0
counting,0,good,medium,expired,critical,0.791667,24,0.16248,0.0,0.0
counting,0,good,medium,expired,normal,0.235294,34,0.142584,0.0,0.0
counting,0,good,medium,fresh,critical,0.916667,24,0.110577,0.0,0.0
counting,0,good,medium,fresh,normal,0.735294,34,0.148296,0.0,0.0
counting,0,good,medium,stale,critical,0.958333,24,0.079947,0.0,0.0
counting,0,good,medium,stale,normal,0.5,34,0.168069,0.0,0.0
counting,0,good,poor,expired,critical,0.866667,30,0.121644,0.0,0.0
counting,0,good,poor,expired,normal,0.314286,105,0.088796,0.0,0.0
counting,0,good,poor,fresh,critical,0.933333,30,0.089262,0.0,0.0
counting,0,good,poor,fresh,normal,0.552381,105,0.095112,0.0,0.0
counting,0,good,poor,stale,critical,0.966667,30,0.064235,0.0,0.0
counting,0,good,poor,stale,normal,0.438095,105,0.094902,0.0,0.0
counting,0,medium,good,expired,critical,0.916667,24,0.110577,0.0,0.0
counting,0,medium,good,expired,normal,0.257576,66,0.105502,0.0,0.0
counting,0,medium,good,fresh,critical,0.875,24,0.132315,0.0,0.0
counting,0,medium,good,fresh,normal,0.606061,66,0.117885,0.0,0.0
counting,0,medium,good,stale,critical,0.791667,24,0.16248,0.0,0.0
counting,0,medium,good,stale,normal,0.484848,66,0.120574,0.0,0.0
counting,0,medium,medium,expired,critical,0.75,24,0.173241,0.0,0.0
counting,0,medium,medium,expired,normal,0.264706,34,0.148296,0.0,0.0
counting,0,medium,medium,fresh,critical,0.916667,24,0.110577,0.0,0.0
counting,0,medium,medium,fresh,normal,0.676471,34,0.157253,0.0,0.0
counting,0,medium,medium,stale,critical,0.916667,24,0.110577,0.0,0.0
counting,0,medium,medium,stale,normal,0.470588,34,0.167778,0.0,0.0
counting,0,medium,poor,expired,critical,0.9,30,0.107354,0.0,0.0
counting,0,medium,poor,expired,normal,0.257143,105,0.083599,0.0,0.0
counting,0,medium,poor,fresh,critical,0.966667,30,0.064235,0.0,0.0
counting,0,medium,poor,fresh,normal,0.6,105,0.093706,0.0,0.0
counting,0,medium,poor,stale,critical,0.933333,30,0.089262,0.0,0.0
counting,0,medium,poor,stale,normal,0.609524,105,0.093316,0.0,0.0
counting,1,bad,good,expired,critical,0.041667,24,0.079947,854.333,0.83431
counting,1,bad,good,expired,normal,0.5,66,0.12063,490.076,0.47859
counting,1,bad,good,fresh,critical,0.041667,24,0.079947,854.333,0.83431
counting,1,bad,good,fresh,normal,0.5,66,0.12063,490.076,0.47859
counting,1,bad,good,stale,critical,0.041667,24,0.079947,854.333,0.83431
counting,1,bad,good,stale,normal,0.5,66,0.12063,490.076,0.47859
counting,1,bad,medium,expired,critical,0.0,24,0.0,872.875,0.852417
counting,1,bad,medium,expired,normal,0.294118,34,0.153159,509.088,0.497156
counting,1,bad,medium,fresh,critical,0.0,24,0.0,872.875,0.852417
counting,1,bad,medium,fresh,normal,0.294118,34,0.153159,509.088,0.497156
counting,1,bad,medium,stale,critical,0.0,24,0.0,872.875,0.852417
counting,1,bad,medium,stale,normal,0.294118,34,0.153159,509.088,0.497156
counting,1,bad,poor,expired,critical,0.066667,30,0.089262,856.7,0.836621
counting,1,bad,poor,expired,normal,0.447619,105,0.095112,532.876,0.520387
counting,1,bad,poor,fresh,critical,0.066667,30,0.089262,856.7,0.836621
counting,1,bad,poor,fresh,normal,0.447619,105,0.095112,532.876,0.520387
counting,1,bad,poor,stale,critical,0.066667,30,0.089262,856.7,0.836621
