image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity
0000001_02999_d_0000005,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,17,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,presence,Are there bus objects in this area?,no,bus,0,normal,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,negative
0000001_02999_d_0000005,counting,How many awning-tricycle objects are in this area?,17,awning-tricycle,17,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many car objects are in this area?,14,car,14,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there car objects in this area?,yes,car,14,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many motor objects are in this area?,50,motor,50,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there motor objects in this area?,yes,motor,50,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many pedestrian objects are in this area?,9,pedestrian,9,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there pedestrian objects in this area?,yes,pedestrian,9,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many people objects are in this area?,30,people,30,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there people objects in this area?,yes,people,30,critical,0.82,3.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many truck objects are in this area?,1,truck,1,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there truck objects in this area?,yes,truck,1,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_02999_d_0000005,counting,How many van objects are in this area?,2,van,2,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,
0000001_02999_d_0000005,presence,Are there van objects in this area?,yes,van,2,normal,0.65,5.0,poor,0.076903,1.015748,0.007874,127.0,positive
0000001_03499_d_0000006,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,presence,Are there bus objects in this area?,no,bus,0,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,negative
0000001_03499_d_0000006,counting,How many awning-tricycle objects are in this area?,2,awning-tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there bicycle objects in this area?,yes,bicycle,1,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,negative
0000001_03499_d_0000006,counting,How many car objects are in this area?,16,car,16,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there car objects in this area?,yes,car,16,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,counting,How many motor objects are in this area?,26,motor,26,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there motor objects in this area?,yes,motor,26,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,counting,How many pedestrian objects are in this area?,7,pedestrian,7,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there pedestrian objects in this area?,yes,pedestrian,7,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,counting,How many people objects are in this area?,22,people,22,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there people objects in this area?,yes,people,22,critical,0.82,3.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03499_d_0000006,counting,How many van objects are in this area?,1,van,1,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,
0000001_03499_d_0000006,presence,Are there van objects in this area?,yes,van,1,normal,0.65,5.0,poor,0.12838,0.168831,0.233766,77.0,positive
0000001_03999_d_0000007,presence,Are there bicycle objects in this area?,yes,bicycle,3,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,positive
0000001_03999_d_0000007,presence,Are there awning-tricycle objects in this area?,no,awning-tricycle,0,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,negative
0000001_03999_d_0000007,counting,How many car objects are in this area?,3,car,3,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,
0000001_03999_d_0000007,presence,Are there car objects in this area?,yes,car,3,normal,0.65,5.0,poor,0.098591,1.125,0.041667,48.0,positive
