question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,good,expired,critical,0.855422,83,0.075659,0.0,0.0
counting,0,bad,good,expired,normal,0.326389,144,0.076586,0.0,0.0
counting,0,bad,good,fresh,critical,0.879518,83,0.070033,0.0,0.0
counting,0,bad,good,fresh,normal,0.597222,144,0.080108,0.0,0.0
counting,0,bad,good,stale,critical,0.843373,83,0.078192,0.0,0.0
counting,0,bad,good,stale,normal,0.527778,144,0.081541,0.0,0.0
counting,0,bad,medium,expired,critical,0.920455,88,0.056536,0.0,0.0
counting,0,bad,medium,expired,normal,0.36,125,0.084148,0.0,0.0
counting,0,bad,medium,fresh,critical,0.943182,88,0.048368,0.0,0.0
counting,0,bad,medium,fresh,normal,0.592,125,0.086157,0.0,0.0
counting,0,bad,medium,stale,critical,0.920455,88,0.056536,0.0,0.0
counting,0,bad,medium,stale,normal,0.504,125,0.087651,0.0,0.0
counting,0,bad,poor,expired,critical,0.912281,57,0.07344,0.0,0.0
counting,0,bad,poor,expired,normal,0.307229,166,0.070182,0.0,0.0
counting,0,bad,poor,fresh,critical,0.929825,57,0.066315,0.0,0.0
counting,0,bad,poor,fresh,normal,0.548193,166,0.075709,0.0,0.0
counting,0,bad,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,bad,poor,stale,normal,0.445783,166,0.075614,0.0,0.0
counting,0,good,good,expired,critical,0.879518,83,0.070033,0.0,0.0
counting,0,good,good,expired,normal,0.402778,144,0.080108,0.0,0.0
counting,0,good,good,fresh,critical,0.891566,83,0.066892,0.0,0.0
counting,0,good,good,fresh,normal,0.597222,144,0.080108,0.0,0.0
counting,0,good,good,stale,critical,0.891566,83,0.066892,0.0,0.0
counting,0,good,good,stale,normal,0.513889,144,0.081635,0.0,0.0
counting,0,good,medium,expired,critical,0.852273,88,0.074137,0.0,0.0
counting,0,good,medium,expired,normal,0.304,125,0.080639,0.0,0.0
counting,0,good,medium,fresh,critical,0.931818,88,0.052664,0.0,0.0
counting,0,good,medium,fresh,normal,0.616,125,0.085262,0.0,0.0
counting,0,good,medium,stale,critical,0.920455,88,0.056536,0.0,0.0
counting,0,good,medium,stale,normal,0.472,125,0.087516,0.0,0.0
counting,0,good,poor,expired,critical,0.859649,57,0.090175,0.0,0.0
counting,0,good,poor,expired,normal,0.289157,166,0.068969,0.0,0.0
counting,0,good,poor,fresh,critical,0.947368,57,0.05797,0.0,0.0
counting,0,good,poor,fresh,normal,0.608434,166,0.074253,0.0,0.0
counting,0,good,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,good,poor,stale,normal,0.457831,166,0.075792,0.0,0.0
counting,0,medium,good,expired,critical,0.843373,83,0.078192,0.0,0.0
counting,0,medium,good,expired,normal,0.305556,144,0.075238,0.0,0.0
counting,0,medium,good,fresh,critical,0.891566,83,0.066892,0.0,0.0
counting,0,medium,good,fresh,normal,0.548611,144,0.08128,0.0,0.0
counting,0,medium,good,stale,critical,0.891566,83,0.066892,0.0,0.0
counting,0,medium,good,stale,normal,0.493056,144,0.081659,0.0,0.0
counting,0,medium,medium,expired,critical,0.840909,88,0.076421,0.0,0.0
counting,0,medium,medium,expired,normal,0.336,125,0.082805,0.0,0.0
counting,0,medium,medium,fresh,critical,0.875,88,0.069099,0.0,0.0
counting,0,medium,medium,fresh,normal,0.616,125,0.085262,0.0,0.0
counting,0,medium,medium,stale,critical,0.909091,88,0.060065,0.0,0.0
counting,0,medium,medium,stale,normal,0.512,125,0.087629,0.0,0.0
counting,0,medium,poor,expired,critical,0.894737,57,0.079672,0.0,0.0
counting,0,medium,poor,expired,normal,0.313253,166,0.070558,0.0,0.0
counting,0,medium,poor,fresh,critical,0.929825,57,0.066315,0.0,0.0
counting,0,medium,poor,fresh,normal,0.638554,166,0.073084,0.0,0.0
counting,0,medium,poor,stale,critical,0.929825,57,0.066315,0.0,0.0
counting,0,medium,poor,stale,normal,0.590361,166,0.07481,0.0,0.0
counting,1,bad,good,expired,critical,0.518072,83,0.107499,1110.398,1.084373
counting,1,bad,good,expired,normal,0.673611,144,0.076586,752.167,0.734538
counting,1,bad,good,fresh,critical,0.518072,83,0.107499,1110.398,1.084373
counting,1,bad,good,fresh,normal,0.673611,144,0.076586,752.167,0.734538
counting,1,bad,good,stale,critical,0.518072,83,0.107499,1110.398,1.084373
counting,1,bad,good,stale,normal,0.673611,144,0.076586,752.167,0.734538
counting,1,bad,medium,expired,critical,0.397727,88,0.10226,1101.818,1.075994
counting,1,bad,medium,expired,normal,0.632,125,0.084544,731.656,0.714508
counting,1,bad,medium,fresh,critical,0.397727,88,0.10226,1101.818,1.075994
counting,1,bad,medium,fresh,normal,0.632,125,0.084544,731.656,0.714508
counting,1,bad,medium,stale,critical,0.397727,88,0.10226,1101.818,1.075994
counting,1,bad,medium,stale,normal,0.632,125,0.084544,731.656,0.714508
counting,1,bad,poor,expired,critical,0.333333,57,0.122381,1033.877,1.009646
counting,1,bad,poor,expired,normal,0.518072,166,0.076013,738.452,0.721144
counting,1,bad,poor,fresh,critical,0.333333,57,0.122381,1033.877,1.009646
counting,1,bad,poor,fresh,normal,0.518072,166,0.076013,738.452,0.721144
counting,1,bad,poor,stale,critical,0.333333,57,0.122381,1033.877,1.009646
counting,1,bad,poor,stale,normal,0.518072,166,0.076013,738.452,0.721144
counting,1,good,good,expired,critical,0.518072,83,0.107499,1215.988,1.187488
counting,1,good,good,expired,normal,0.673611,144,0.076586,819.25,0.800049
counting,1,good,good,fresh,critical,0.518072,83,0.107499,1215.988,1.187488
counting,1,good,good,fresh,normal,0.673611,144,0.076586,819.25,0.800049
counting,1,good,good,stale,critical,0.518072,83,0.107499,1215.988,1.187488
counting,1,good,good,stale,normal,0.673611,144,0.076586,819.25,0.800049
counting,1,good,medium,expired,critical,0.397727,88,0.10226,1190.273,1.162376
counting,1,good,medium,expired,normal,0.632,125,0.084544,776.528,0.758328
counting,1,good,medium,fresh,critical,0.397727,88,0.10226,1190.273,1.162376
counting,1,good,medium,fresh,normal,0.632,125,0.084544,776.528,0.758328
counting,1,good,medium,stale,critical,0.397727,88,0.10226,1190.273,1.162376
counting,1,good,medium,stale,normal,0.632,125,0.084544,776.528,0.758328
counting,1,good,poor,expired,critical,0.333333,57,0.122381,1172.333,1.144857
counting,1,good,poor,expired,normal,0.518072,166,0.076013,802.675,0.783862
counting,1,good,poor,fresh,critical,0.333333,57,0.122381,1172.333,1.144857
counting,1,good,poor,fresh,normal,0.518072,166,0.076013,802.675,0.783862
counting,1,good,poor,stale,critical,0.333333,57,0.122381,1172.333,1.144857
counting,1,good,poor,stale,normal,0.518072,166,0.076013,802.675,0.783862
counting,1,medium,good,expired,critical,0.518072,83,0.107499,1202.506,1.174322
counting,1,medium,good,expired,normal,0.673611,144,0.076586,811.104,0.792094
counting,1,medium,good,fresh,critical,0.518072,83,0.107499,1202.506,1.174322
counting,1,medium,good,fresh,normal,0.673611,144,0.076586,811.104,0.792094
counting,1,medium,good,stale,critical,0.518072,83,0.107499,1202.506,1.174322
counting,1,medium,good,stale,normal,0.673611,144,0.076586,811.104,0.792094
counting,1,medium,medium,expired,critical,0.397727,88,0.10226,1177.432,1.149836
counting,1,medium,medium,expired,normal,0.632,125,0.084544,770.128,0.752078
counting,1,medium,medium,fresh,critical,0.397727,88,0.10226,1177.432,1.149836
counting,1,medium,medium,fresh,normal,0.632,125,0.084544,770.128,0.752078
counting,1,medium,medium,stale,critical,0.397727,88,0.10226,1177.432,1.149836
counting,1,medium,medium,stale,normal,0.632,125,0.084544,770.128,0.752078
counting,1,medium,poor,expired,critical,0.333333,57,0.122381,1161.772,1.134543
counting,1,medium,poor,expired,normal,0.518072,166,0.076013,790.12,0.771602
counting,1,medium,poor,fresh,critical,0.333333,57,0.122381,1161.772,1.134543
counting,1,medium,poor,fresh,normal,0.518072,166,0.076013,790.12,0.771602
counting,1,medium,poor,stale,critical,0.333333,57,0.122381,1161.772,1.134543
counting,1,medium,poor,stale,normal,0.518072,166,0.076013,790.12,0.771602
counting,2,bad,good,expired,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,expired,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,good,fresh,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,fresh,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,good,stale,critical,0.0,83,0.0,39925.217,38.98947
counting,2,bad,good,stale,normal,0.604167,144,0.079875,36216.194,35.367377
counting,2,bad,medium,expired,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,expired,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,medium,fresh,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,fresh,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,medium,stale,critical,0.0,88,0.0,38571.841,37.667813
counting,2,bad,medium,stale,normal,0.552,125,0.087179,38288.608,37.391219
counting,2,bad,poor,expired,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,expired,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,bad,poor,fresh,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,fresh,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,bad,poor,stale,critical,0.0,57,0.0,34316.018,33.511736
counting,2,bad,poor,stale,normal,0.415663,166,0.074973,31518.633,30.779915
counting,2,good,good,expired,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,expired,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,good,fresh,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,fresh,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,good,stale,critical,0.0,83,0.0,196923.855,192.308453
counting,2,good,good,stale,normal,0.618056,144,0.079358,181680.438,177.422302
counting,2,good,medium,expired,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,expired,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,medium,fresh,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,fresh,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,medium,stale,critical,0.0,88,0.0,188062.307,183.654597
counting,2,good,medium,stale,normal,0.56,125,0.08702,191969.032,187.469758
counting,2,good,poor,expired,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,expired,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,good,poor,fresh,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,fresh,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,good,poor,stale,critical,0.0,57,0.0,169523.07,165.549873
counting,2,good,poor,stale,normal,0.481928,166,0.076013,159166.127,155.43567
counting,2,medium,good,expired,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,expired,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,good,fresh,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,fresh,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,good,stale,critical,0.0,83,0.0,79922.265,78.049087
counting,2,medium,good,stale,normal,0.604167,144,0.079875,73039.812,71.327942
counting,2,medium,medium,expired,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,expired,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,medium,fresh,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,fresh,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,medium,stale,critical,0.0,88,0.0,77140.136,75.332164
counting,2,medium,medium,stale,normal,0.568,125,0.086839,77352.768,75.539812
counting,2,medium,poor,expired,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,expired,normal,0.451807,166,0.075709,64197.771,62.693136
counting,2,medium,poor,fresh,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,fresh,normal,0.451807,166,0.075709,64197.771,62.693136
counting,2,medium,poor,stale,critical,0.0,57,0.0,69390.351,67.764015
counting,2,medium,poor,stale,normal,0.451807,166,0.075709,64197.771,62.693136
presence,0,bad,good,expired,critical,0.376712,146,0.078601,0.0,0.0
presence,0,bad,good,expired,normal,0.332155,283,0.054875,0.0,0.0
presence,0,bad,good,fresh,critical,0.650685,146,0.077335,0.0,0.0
presence,0,bad,good,fresh,normal,0.628975,283,0.056283,0.0,0.0
presence,0,bad,good,stale,critical,0.541096,146,0.080831,0.0,0.0
presence,0,bad,good,stale,normal,0.611307,283,0.056793,0.0,0.0
presence,0,bad,medium,expired,critical,0.333333,171,0.070656,0.0,0.0
presence,0,bad,medium,expired,normal,0.346429,280,0.055735,0.0,0.0
presence,0,bad,medium,fresh,critical,0.608187,171,0.073167,0.0,0.0
presence,0,bad,medium,fresh,normal,0.667857,280,0.055167,0.0,0.0
presence,0,bad,medium,stale,critical,0.467836,171,0.074787,0.0,0.0
presence,0,bad,medium,stale,normal,0.589286,280,0.057625,0.0,0.0
presence,0,bad,poor,expired,critical,0.369565,138,0.080535,0.0,0.0
presence,0,bad,poor,expired,normal,0.355482,301,0.054075,0.0,0.0
presence,0,bad,poor,fresh,critical,0.572464,138,0.082542,0.0,0.0
presence,0,bad,poor,fresh,normal,0.671096,301,0.053076,0.0,0.0
presence,0,bad,poor,stale,critical,0.449275,138,0.082993,0.0,0.0
presence,0,bad,poor,stale,normal,0.524917,301,0.056416,0.0,0.0
presence,0,good,good,expired,critical,0.315068,146,0.075354,0.0,0.0
presence,0,good,good,expired,normal,0.363958,283,0.056057,0.0,0.0
presence,0,good,good,fresh,critical,0.671233,146,0.076201,0.0,0.0
presence,0,good,good,fresh,normal,0.699647,283,0.053409,0.0,0.0
presence,0,good,good,stale,critical,0.582192,146,0.080002,0.0,0.0
presence,0,good,good,stale,normal,0.508834,283,0.058246,0.0,0.0
presence,0,good,medium,expired,critical,0.25731,171,0.065522,0.0,0.0
presence,0,good,medium,expired,normal,0.357143,280,0.056125,0.0,0.0
presence,0,good,medium,fresh,critical,0.643275,171,0.0718,0.0,0.0
presence,0,good,medium,fresh,normal,0.671429,280,0.055016,0.0,0.0
presence,0,good,medium,stale,critical,0.479532,171,0.07488,0.0,0.0
presence,0,good,medium,stale,normal,0.507143,280,0.05856,0.0,0.0
presence,0,good,poor,expired,critical,0.362319,138,0.080198,0.0,0.0
presence,0,good,poor,expired,normal,0.378738,301,0.0548,0.0,0.0
presence,0,good,poor,fresh,critical,0.652174,138,0.079466,0.0,0.0
presence,0,good,poor,fresh,normal,0.674419,301,0.052938,0.0,0.0
presence,0,good,poor,stale,critical,0.478261,138,0.083344,0.0,0.0
presence,0,good,poor,stale,normal,0.591362,301,0.055535,0.0,0.0
presence,0,medium,good,expired,critical,0.424658,146,0.080179,0.0,0.0
presence,0,medium,good,expired,normal,0.321555,283,0.054419,0.0,0.0
presence,0,medium,good,fresh,critical,0.636986,146,0.078002,0.0,0.0
presence,0,medium,good,fresh,normal,0.70318,283,0.053228,0.0,0.0
presence,0,medium,good,stale,critical,0.561644,146,0.080487,0.0,0.0
presence,0,medium,good,stale,normal,0.515901,283,0.058225,0.0,0.0
presence,0,medium,medium,expired,critical,0.356725,171,0.0718,0.0,0.0
presence,0,medium,medium,expired,normal,0.382143,280,0.056916,0.0,0.0
presence,0,medium,medium,fresh,critical,0.561404,171,0.074375,0.0,0.0
presence,0,medium,medium,fresh,normal,0.689286,280,0.054207,0.0,0.0
presence,0,medium,medium,stale,critical,0.502924,171,0.074941,0.0,0.0
presence,0,medium,medium,stale,normal,0.5,280,0.058566,0.0,0.0
presence,0,medium,poor,expired,critical,0.405797,138,0.081929,0.0,0.0
presence,0,medium,poor,expired,normal,0.401993,301,0.05539,0.0,0.0
presence,0,medium,poor,fresh,critical,0.565217,138,0.08271,0.0,0.0
presence,0,medium,poor,fresh,normal,0.674419,301,0.052938,0.0,0.0
presence,0,medium,poor,stale,critical,0.405797,138,0.081929,0.0,0.0
presence,0,medium,poor,stale,normal,0.55814,301,0.056103,0.0,0.0
presence,1,bad,good,expired,critical,1.0,146,0.0,1064.103,1.039163
presence,1,bad,good,expired,normal,1.0,283,0.0,741.65,0.724268
presence,1,bad,good,fresh,critical,1.0,146,0.0,1064.103,1.039163
presence,1,bad,good,fresh,normal,1.0,283,0.0,741.65,0.724268
presence,1,bad,good,stale,critical,1.0,146,0.0,1064.103,1.039163
presence,1,bad,good,stale,normal,1.0,283,0.0,741.65,0.724268
presence,1,bad,medium,expired,critical,1.0,171,0.0,1065.07,1.040108
presence,1,bad,medium,expired,normal,1.0,280,0.0,729.204,0.712113
presence,1,bad,medium,fresh,critical,1.0,171,0.0,1065.07,1.040108
presence,1,bad,medium,fresh,normal,1.0,280,0.0,729.204,0.712113
presence,1,bad,medium,stale,critical,1.0,171,0.0,1065.07,1.040108
presence,1,bad,medium,stale,normal,1.0,280,0.0,729.204,0.712113
presence,1,bad,poor,expired,critical,1.0,138,0.0,1014.007,0.990241
presence,1,bad,poor,expired,normal,1.0,301,0.0,731.831,0.714678
presence,1,bad,poor,fresh,critical,1.0,138,0.0,1014.007,0.990241
presence,1,bad,poor,fresh,normal,1.0,301,0.0,731.831,0.714678
presence,1,bad,poor,stale,critical,1.0,138,0.0,1014.007,0.990241
presence,1,bad,poor,stale,normal,1.0,301,0.0,731.831,0.714678
presence,1,good,good,expired,critical,1.0,146,0.0,1176.308,1.148738
presence,1,good,good,expired,normal,1.0,283,0.0,802.279,0.783476
presence,1,good,good,fresh,critical,1.0,146,0.0,1176.308,1.148738
presence,1,good,good,fresh,normal,1.0,283,0.0,802.279,0.783476
presence,1,good,good,stale,critical,1.0,146,0.0,1176.308,1.148738
presence,1,good,good,stale,normal,1.0,283,0.0,802.279,0.783476
presence,1,good,medium,expired,critical,1.0,171,0.0,1171.094,1.143646
presence,1,good,medium,expired,normal,1.0,280,0.0,774.893,0.756731
presence,1,good,medium,fresh,critical,1.0,171,0.0,1171.094,1.143646
presence,1,good,medium,fresh,normal,1.0,280,0.0,774.893,0.756731
presence,1,good,medium,stale,critical,1.0,171,0.0,1171.094,1.143646
presence,1,good,medium,stale,normal,1.0,280,0.0,774.893,0.756731
presence,1,good,poor,expired,critical,1.0,138,0.0,1145.71,1.118858
presence,1,good,poor,expired,normal,1.0,301,0.0,785.631,0.767218
presence,1,good,poor,fresh,critical,1.0,138,0.0,1145.71,1.118858
presence,1,good,poor,fresh,normal,1.0,301,0.0,785.631,0.767218
presence,1,good,poor,stale,critical,1.0,138,0.0,1145.71,1.118858
presence,1,good,poor,stale,normal,1.0,301,0.0,785.631,0.767218
presence,1,medium,good,expired,critical,1.0,146,0.0,1163.055,1.135796
presence,1,medium,good,expired,normal,1.0,283,0.0,794.633,0.776008
presence,1,medium,good,fresh,critical,1.0,146,0.0,1163.055,1.135796
presence,1,medium,good,fresh,normal,1.0,283,0.0,794.633,0.776008
presence,1,medium,good,stale,critical,1.0,146,0.0,1163.055,1.135796
presence,1,medium,good,stale,normal,1.0,283,0.0,794.633,0.776008
presence,1,medium,medium,expired,critical,1.0,171,0.0,1162.31,1.135068
presence,1,medium,medium,expired,normal,1.0,280,0.0,769.246,0.751217
presence,1,medium,medium,fresh,critical,1.0,171,0.0,1162.31,1.135068
presence,1,medium,medium,fresh,normal,1.0,280,0.0,769.246,0.751217
presence,1,medium,medium,stale,critical,1.0,171,0.0,1162.31,1.135068
presence,1,medium,medium,stale,normal,1.0,280,0.0,769.246,0.751217
