question_type,service_level,channel_bin,view_quality_bin,freshness_bin,risk_level,expected_accuracy,sample_count,std_or_ci,avg_payload_bytes,avg_payload_kb
counting,0,bad,good,expired,critical,0.0,4,0.0,0.0,0.0
counting,0,bad,good,expired,normal,0.233333,30,0.151352,0.0,0.0
counting,0,bad,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,bad,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,bad,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,bad,good,stale,normal,0.566667,30,0.177325,0.0,0.0
counting,0,bad,medium,expired,critical,0.692308,13,0.250895,0.0,0.0
counting,0,bad,medium,expired,normal,0.297297,37,0.147278,0.0,0.0
counting,0,bad,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,bad,medium,stale,critical,0.615385,13,0.264467,0.0,0.0
counting,0,bad,medium,stale,normal,0.567568,37,0.159633,0.0,0.0
counting,0,bad,poor,expired,critical,0.897959,441,0.028252,0.0,0.0
counting,0,bad,poor,expired,normal,0.325866,491,0.041458,0.0,0.0
counting,0,bad,poor,fresh,critical,0.9161,441,0.025876,0.0,0.0
counting,0,bad,poor,fresh,normal,0.566191,491,0.043838,0.0,0.0
counting,0,bad,poor,stale,critical,0.895692,441,0.028528,0.0,0.0
counting,0,bad,poor,stale,normal,0.462322,491,0.044101,0.0,0.0
counting,0,good,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,good,good,expired,normal,0.366667,30,0.172444,0.0,0.0
counting,0,good,good,fresh,critical,0.5,4,0.49,0.0,0.0
counting,0,good,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,good,good,stale,critical,0.25,4,0.424352,0.0,0.0
counting,0,good,good,stale,normal,0.466667,30,0.178525,0.0,0.0
counting,0,good,medium,expired,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,medium,expired,normal,0.432432,37,0.159633,0.0,0.0
counting,0,good,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,good,medium,fresh,normal,0.567568,37,0.159633,0.0,0.0
counting,0,good,medium,stale,critical,0.846154,13,0.196134,0.0,0.0
counting,0,good,medium,stale,normal,0.648649,37,0.153826,0.0,0.0
counting,0,good,poor,expired,critical,0.861678,441,0.032222,0.0,0.0
counting,0,good,poor,expired,normal,0.313646,491,0.04104,0.0,0.0
counting,0,good,poor,fresh,critical,0.922902,441,0.024896,0.0,0.0
counting,0,good,poor,fresh,normal,0.608961,491,0.043164,0.0,0.0
counting,0,good,poor,stale,critical,0.902494,441,0.027687,0.0,0.0
counting,0,good,poor,stale,normal,0.448065,491,0.043988,0.0,0.0
counting,0,medium,good,expired,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,good,expired,normal,0.266667,30,0.158245,0.0,0.0
counting,0,medium,good,fresh,critical,0.25,4,0.424352,0.0,0.0
counting,0,medium,good,fresh,normal,0.566667,30,0.177325,0.0,0.0
counting,0,medium,good,stale,critical,0.5,4,0.49,0.0,0.0
counting,0,medium,good,stale,normal,0.4,30,0.175308,0.0,0.0
counting,0,medium,medium,expired,critical,0.461538,13,0.270998,0.0,0.0
counting,0,medium,medium,expired,normal,0.324324,37,0.150839,0.0,0.0
counting,0,medium,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
counting,0,medium,medium,fresh,normal,0.459459,37,0.160581,0.0,0.0
counting,0,medium,medium,stale,critical,0.769231,13,0.229035,0.0,0.0
counting,0,medium,medium,stale,normal,0.594595,37,0.158201,0.0,0.0
counting,0,medium,poor,expired,critical,0.852608,441,0.033086,0.0,0.0
counting,0,medium,poor,expired,normal,0.329939,491,0.04159,0.0,0.0
counting,0,medium,poor,fresh,critical,0.913832,441,0.02619,0.0,0.0
counting,0,medium,poor,fresh,normal,0.613035,491,0.043082,0.0,0.0
counting,0,medium,poor,stale,critical,0.886621,441,0.029592,0.0,0.0
counting,0,medium,poor,stale,normal,0.521385,491,0.044186,0.0,0.0
counting,1,bad,good,expired,critical,0.5,4,0.49,932.5,0.910645
counting,1,bad,good,expired,normal,0.666667,30,0.16869,737.633,0.720345
counting,1,bad,good,fresh,critical,0.5,4,0.49,932.5,0.910645
counting,1,bad,good,fresh,normal,0.666667,30,0.16869,737.633,0.720345
counting,1,bad,good,stale,critical,0.5,4,0.49,932.5,0.910645
counting,1,bad,good,stale,normal,0.666667,30,0.16869,737.633,0.720345
counting,1,bad,medium,expired,critical,0.307692,13,0.250895,1031.846,1.007662
counting,1,bad,medium,expired,normal,0.459459,37,0.160581,755.622,0.737912
counting,1,bad,medium,fresh,critical,0.307692,13,0.250895,1031.846,1.007662
counting,1,bad,medium,fresh,normal,0.459459,37,0.160581,755.622,0.737912
counting,1,bad,medium,stale,critical,0.307692,13,0.250895,1031.846,1.007662
counting,1,bad,medium,stale,normal,0.459459,37,0.160581,755.622,0.737912
counting,1,bad,poor,expired,critical,0.176871,441,0.035612,1071.909,1.046786
counting,1,bad,poor,expired,normal,0.446029,491,0.043968,739.644,0.722308
counting,1,bad,poor,fresh,critical,0.176871,441,0.035612,1071.909,1.046786
counting,1,bad,poor,fresh,normal,0.446029,491,0.043968,739.644,0.722308
counting,1,bad,poor,stale,critical,0.176871,441,0.035612,1071.909,1.046786
counting,1,bad,poor,stale,normal,0.446029,491,0.043968,739.644,0.722308
counting,1,good,good,expired,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,good,expired,normal,0.866667,30,0.121644,814.233,0.79515
counting,1,good,good,fresh,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,good,fresh,normal,0.866667,30,0.121644,814.233,0.79515
counting,1,good,good,stale,critical,0.75,4,0.424352,1184.5,1.156738
counting,1,good,good,stale,normal,0.866667,30,0.121644,814.233,0.79515
counting,1,good,medium,expired,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,medium,expired,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,medium,fresh,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,medium,fresh,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,medium,stale,critical,0.461538,13,0.270998,1216.923,1.188401
counting,1,good,medium,stale,normal,0.72973,37,0.143099,814.973,0.795872
counting,1,good,poor,expired,critical,0.399093,441,0.045706,1186.027,1.15823
counting,1,good,poor,expired,normal,0.537678,491,0.044101,807.065,0.78815
counting,1,good,poor,fresh,critical,0.399093,441,0.045706,1186.027,1.15823
counting,1,good,poor,fresh,normal,0.537678,491,0.044101,807.065,0.78815
counting,1,good,poor,stale,critical,0.399093,441,0.045706,1186.027,1.15823
counting,1,good,poor,stale,normal,0.537678,491,0.044101,807.065,0.78815
counting,1,medium,good,expired,critical,0.75,4,0.424352,1108.25,1.082275
counting,1,medium,good,expired,normal,0.9,30,0.107354,806.633,0.787728
counting,1,medium,good,fresh,critical,0.75,4,0.424352,1108.25,1.082275
counting,1,medium,good,fresh,normal,0.9,30,0.107354,806.633,0.787728
counting,1,medium,good,stale,critical,0.75,4,0.424352,1108.25,1.082275
counting,1,medium,good,stale,normal,0.9,30,0.107354,806.633,0.787728
counting,1,medium,medium,expired,critical,0.461538,13,0.270998,1190.615,1.16271
counting,1,medium,medium,expired,normal,0.702703,37,0.147278,807.703,0.788772
counting,1,medium,medium,fresh,critical,0.461538,13,0.270998,1190.615,1.16271
counting,1,medium,medium,fresh,normal,0.702703,37,0.147278,807.703,0.788772
counting,1,medium,medium,stale,critical,0.461538,13,0.270998,1190.615,1.16271
counting,1,medium,medium,stale,normal,0.702703,37,0.147278,807.703,0.788772
counting,1,medium,poor,expired,critical,0.337868,441,0.044145,1175.494,1.147944
counting,1,medium,poor,expired,normal,0.539715,491,0.044087,797.141,0.778458
counting,1,medium,poor,fresh,critical,0.337868,441,0.044145,1175.494,1.147944
counting,1,medium,poor,fresh,normal,0.539715,491,0.044087,797.141,0.778458
counting,1,medium,poor,stale,critical,0.337868,441,0.044145,1175.494,1.147944
counting,1,medium,poor,stale,normal,0.539715,491,0.044087,797.141,0.778458
counting,2,bad,good,expired,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,good,expired,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,good,fresh,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,good,fresh,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,good,stale,critical,0.0,4,0.0,30988.25,30.261963
counting,2,bad,good,stale,normal,0.7,30,0.163985,31844.3,31.097949
counting,2,bad,medium,expired,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,medium,expired,normal,0.594595,37,0.158201,33800.378,33.008182
counting,2,bad,medium,fresh,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,medium,fresh,normal,0.594595,37,0.158201,33800.378,33.008182
counting,2,bad,medium,stale,critical,0.0,13,0.0,39142.692,38.225285
counting,2,bad,medium,stale,normal,0.594595,37,0.158201,33800.378,33.008182
counting,2,bad,poor,expired,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,poor,expired,normal,0.464358,491,0.044114,35784.747,34.946042
counting,2,bad,poor,fresh,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,poor,fresh,normal,0.464358,491,0.044114,35784.747,34.946042
counting,2,bad,poor,stale,critical,0.0,441,0.0,38262.605,37.365826
counting,2,bad,poor,stale,normal,0.464358,491,0.044114,35784.747,34.946042
counting,2,good,good,expired,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,good,expired,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,good,fresh,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,good,fresh,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,good,stale,critical,0.0,4,0.0,165779.25,161.893799
counting,2,good,good,stale,normal,0.7,30,0.163985,157697.833,154.00179
counting,2,good,medium,expired,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,medium,expired,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,medium,fresh,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,medium,fresh,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,medium,stale,critical,0.0,13,0.0,195679.462,191.093224
counting,2,good,medium,stale,normal,0.594595,37,0.158201,168199.135,164.256968
counting,2,good,poor,expired,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,poor,expired,normal,0.496945,491,0.044226,179324.874,175.121947
counting,2,good,poor,fresh,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,poor,fresh,normal,0.496945,491,0.044226,179324.874,175.121947
counting,2,good,poor,stale,critical,0.0,441,0.0,188636.363,184.215198
counting,2,good,poor,stale,normal,0.496945,491,0.044226,179324.874,175.121947
counting,2,medium,good,expired,critical,0.0,4,0.0,63841.0,62.344727
counting,2,medium,good,expired,normal,0.733333,30,0.158245,63929.967,62.431608
counting,2,medium,good,fresh,critical,0.0,4,0.0,63841.0,62.344727
counting,2,medium,good,fresh,normal,0.733333,30,0.158245,63929.967,62.431608
counting,2,medium,good,stale,critical,0.0,4,0.0,63841.0,62.344727
counting,2,medium,good,stale,normal,0.733333,30,0.158245,63929.967,62.431608
counting,2,medium,medium,expired,critical,0.0,13,0.0,78594.462,76.752404
counting,2,medium,medium,expired,normal,0.567568,37,0.159633,67817.676,66.228199
counting,2,medium,medium,fresh,critical,0.0,13,0.0,78594.462,76.752404
counting,2,medium,medium,fresh,normal,0.567568,37,0.159633,67817.676,66.228199
counting,2,medium,medium,stale,critical,0.0,13,0.0,78594.462,76.752404
counting,2,medium,medium,stale,normal,0.567568,37,0.159633,67817.676,66.228199
counting,2,medium,poor,expired,critical,0.0,441,0.0,76852.492,75.051262
counting,2,medium,poor,expired,normal,0.482688,491,0.0442,72389.134,70.692514
counting,2,medium,poor,fresh,critical,0.0,441,0.0,76852.492,75.051262
counting,2,medium,poor,fresh,normal,0.482688,491,0.0442,72389.134,70.692514
counting,2,medium,poor,stale,critical,0.0,441,0.0,76852.492,75.051262
counting,2,medium,poor,stale,normal,0.482688,491,0.0442,72389.134,70.692514
counting,3,bad,poor,expired,critical,0.0,12,0.0,57637.083,56.286214
counting,3,bad,poor,expired,normal,0.375,8,0.33548,30904.625,30.180298
counting,3,bad,poor,fresh,critical,0.0,12,0.0,57637.083,56.286214
counting,3,bad,poor,fresh,normal,0.375,8,0.33548,30904.625,30.180298
counting,3,bad,poor,stale,critical,0.0,12,0.0,57637.083,56.286214
counting,3,bad,poor,stale,normal,0.375,8,0.33548,30904.625,30.180298
counting,3,good,poor,expired,critical,0.0,12,0.0,337244.833,329.340658
counting,3,good,poor,expired,normal,0.375,8,0.33548,162139.875,158.339722
counting,3,good,poor,fresh,critical,0.0,12,0.0,337244.833,329.340658
counting,3,good,poor,fresh,normal,0.375,8,0.33548,162139.875,158.339722
counting,3,good,poor,stale,critical,0.0,12,0.0,337244.833,329.340658
counting,3,good,poor,stale,normal,0.375,8,0.33548,162139.875,158.339722
counting,3,medium,poor,expired,critical,0.0,12,0.0,119605.5,116.802246
counting,3,medium,poor,expired,normal,0.375,8,0.33548,63867.625,62.370728
counting,3,medium,poor,fresh,critical,0.0,12,0.0,119605.5,116.802246
counting,3,medium,poor,fresh,normal,0.375,8,0.33548,63867.625,62.370728
counting,3,medium,poor,stale,critical,0.0,12,0.0,119605.5,116.802246
counting,3,medium,poor,stale,normal,0.375,8,0.33548,63867.625,62.370728
presence,0,bad,good,expired,critical,0.25,4,0.424352,0.0,0.0
presence,0,bad,good,expired,normal,0.3125,64,0.113561,0.0,0.0
presence,0,bad,good,fresh,critical,0.5,4,0.49,0.0,0.0
presence,0,bad,good,fresh,normal,0.625,64,0.11861,0.0,0.0
presence,0,bad,good,stale,critical,0.5,4,0.49,0.0,0.0
presence,0,bad,good,stale,normal,0.65625,64,0.116365,0.0,0.0
presence,0,bad,medium,expired,critical,0.230769,13,0.229035,0.0,0.0
presence,0,bad,medium,expired,normal,0.344828,87,0.099879,0.0,0.0
presence,0,bad,medium,fresh,critical,0.769231,13,0.229035,0.0,0.0
presence,0,bad,medium,fresh,normal,0.666667,87,0.099058,0.0,0.0
presence,0,bad,medium,stale,critical,0.538462,13,0.270998,0.0,0.0
presence,0,bad,medium,stale,normal,0.528736,87,0.104893,0.0,0.0
presence,0,bad,poor,expired,critical,0.366548,281,0.056341,0.0,0.0
presence,0,bad,poor,expired,normal,0.341512,1508,0.023935,0.0,0.0
presence,0,bad,poor,fresh,critical,0.565836,281,0.057953,0.0,0.0
presence,0,bad,poor,fresh,normal,0.65252,1508,0.024034,0.0,0.0
presence,0,bad,poor,stale,critical,0.483986,281,0.058432,0.0,0.0
presence,0,bad,poor,stale,normal,0.543767,1508,0.025139,0.0,0.0
presence,0,good,good,expired,critical,0.25,4,0.424352,0.0,0.0
presence,0,good,good,expired,normal,0.34375,64,0.116365,0.0,0.0
presence,0,good,good,fresh,critical,0.5,4,0.49,0.0,0.0
presence,0,good,good,fresh,normal,0.671875,64,0.115035,0.0,0.0
presence,0,good,good,stale,critical,0.0,4,0.0,0.0,0.0
presence,0,good,good,stale,normal,0.46875,64,0.122261,0.0,0.0
presence,0,good,medium,expired,critical,0.230769,13,0.229035,0.0,0.0
presence,0,good,medium,expired,normal,0.390805,87,0.102531,0.0,0.0
presence,0,good,medium,fresh,critical,0.615385,13,0.264467,0.0,0.0
presence,0,good,medium,fresh,normal,0.758621,87,0.089921,0.0,0.0
presence,0,good,medium,stale,critical,0.692308,13,0.250895,0.0,0.0
presence,0,good,medium,stale,normal,0.482759,87,0.105005,0.0,0.0
presence,0,good,poor,expired,critical,0.302491,281,0.053707,0.0,0.0
presence,0,good,poor,expired,normal,0.370027,1508,0.024369,0.0,0.0
presence,0,good,poor,fresh,critical,0.644128,281,0.05598,0.0,0.0
presence,0,good,poor,fresh,normal,0.674403,1508,0.023651,0.0,0.0
presence,0,good,poor,stale,critical,0.530249,281,0.058355,0.0,0.0
presence,0,good,poor,stale,normal,0.535809,1508,0.025171,0.0,0.0
presence,0,medium,good,expired,critical,0.75,4,0.424352,0.0,0.0
presence,0,medium,good,expired,normal,0.34375,64,0.116365,0.0,0.0
presence,0,medium,good,fresh,critical,0.25,4,0.424352,0.0,0.0
presence,0,medium,good,fresh,normal,0.71875,64,0.110154,0.0,0.0
presence,0,medium,good,stale,critical,0.5,4,0.49,0.0,0.0
presence,0,medium,good,stale,normal,0.578125,64,0.120995,0.0,0.0
presence,0,medium,medium,expired,critical,0.307692,13,0.250895,0.0,0.0
presence,0,medium,medium,expired,normal,0.356322,87,0.100636,0.0,0.0
presence,0,medium,medium,fresh,critical,0.846154,13,0.196134,0.0,0.0
presence,0,medium,medium,fresh,normal,0.609195,87,0.102531,0.0,0.0
presence,0,medium,medium,stale,critical,0.461538,13,0.270998,0.0,0.0
presence,0,medium,medium,stale,normal,0.563218,87,0.104224,0.0,0.0
presence,0,medium,poor,expired,critical,0.3879,281,0.056974,0.0,0.0
presence,0,medium,poor,expired,normal,0.370027,1508,0.024369,0.0,0.0
presence,0,medium,poor,fresh,critical,0.58363,281,0.057638,0.0,0.0
presence,0,medium,poor,fresh,normal,0.659151,1508,0.023924,0.0,0.0
presence,0,medium,poor,stale,critical,0.448399,281,0.05815,0.0,0.0
presence,0,medium,poor,stale,normal,0.538462,1508,0.025162,0.0,0.0
presence,1,bad,good,expired,critical,1.0,4,0.0,932.5,0.910645
presence,1,bad,good,expired,normal,0.734375,64,0.108208,717.969,0.701141
presence,1,bad,good,fresh,critical,1.0,4,0.0,932.5,0.910645
presence,1,bad,good,fresh,normal,0.734375,64,0.108208,717.969,0.701141
presence,1,bad,good,stale,critical,1.0,4,0.0,932.5,0.910645
presence,1,bad,good,stale,normal,0.734375,64,0.108208,717.969,0.701141
presence,1,bad,medium,expired,critical,1.0,13,0.0,1027.615,1.003531
presence,1,bad,medium,expired,normal,0.781609,87,0.086818,731.264,0.714125
presence,1,bad,medium,fresh,critical,1.0,13,0.0,1027.615,1.003531
presence,1,bad,medium,fresh,normal,0.781609,87,0.086818,731.264,0.714125
presence,1,bad,medium,stale,critical,1.0,13,0.0,1027.615,1.003531
presence,1,bad,medium,stale,normal,0.781609,87,0.086818,731.264,0.714125
presence,1,bad,poor,expired,critical,0.900356,281,0.035022,1072.491,1.047355
presence,1,bad,poor,expired,normal,0.589523,1508,0.024828,725.952,0.708938
presence,1,bad,poor,fresh,critical,0.900356,281,0.035022,1072.491,1.047355
presence,1,bad,poor,fresh,normal,0.589523,1508,0.024828,725.952,0.708938
presence,1,bad,poor,stale,critical,0.900356,281,0.035022,1072.491,1.047355
presence,1,bad,poor,stale,normal,0.589523,1508,0.024828,725.952,0.708938
presence,1,good,good,expired,critical,1.0,4,0.0,1184.5,1.156738
presence,1,good,good,expired,normal,0.890625,64,0.076467,758.094,0.740326
presence,1,good,good,fresh,critical,1.0,4,0.0,1184.5,1.156738
presence,1,good,good,fresh,normal,0.890625,64,0.076467,758.094,0.740326
presence,1,good,good,stale,critical,1.0,4,0.0,1184.5,1.156738
presence,1,good,good,stale,normal,0.890625,64,0.076467,758.094,0.740326
presence,1,good,medium,expired,critical,1.0,13,0.0,1216.615,1.188101
presence,1,good,medium,expired,normal,0.850575,87,0.074914,763.299,0.745409
presence,1,good,medium,fresh,critical,1.0,13,0.0,1216.615,1.188101
