image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score
0000001_02999_d_0000005,presence,Are there awning-tricycle objects in this area?,yes,awning-tricycle,17,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many awning-tricycle objects are in this area?,17,awning-tricycle,17,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there bicycle objects in this area?,yes,bicycle,2,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there car objects in this area?,yes,car,14,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many car objects are in this area?,14,car,14,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there motor objects in this area?,yes,motor,50,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many motor objects are in this area?,50,motor,50,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there pedestrian objects in this area?,yes,pedestrian,9,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many pedestrian objects are in this area?,9,pedestrian,9,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there people objects in this area?,yes,people,30,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many people objects are in this area?,30,people,30,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there tricycle objects in this area?,yes,tricycle,2,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many tricycle objects are in this area?,2,tricycle,2,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there truck objects in this area?,yes,truck,1,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many truck objects are in this area?,1,truck,1,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,presence,Are there van objects in this area?,yes,van,2,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,counting,How many van objects are in this area?,2,van,2,normal,0.65,5.0,medium,0.151264,1.015748,0.007874,127.0
0000001_02999_d_0000005,risk,Is this area crowded or blocked?,yes,scene,127,critical,0.82,3.0,medium,0.151264,1.015748,0.007874,127.0
