image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity
00001,presence,Are there car objects in this area?,yes,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,positive
00001,presence,Are there bus objects in this area?,no,bus,0,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,negative
00001,counting,How many car objects are in this area?,14,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,
00001,counting,How many truck objects are in this area?,1,truck,1,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,
00004,presence,Are there car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,positive
00004,presence,Are there truck objects in this area?,no,truck,0,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,negative
00004,counting,How many car objects are in this area?,8,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,
00007,presence,Are there car objects in this area?,yes,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,positive
00007,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,medium,0.0,0.0,0.0,23.0,negative
00007,counting,How many car objects are in this area?,23,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,
00010,presence,Are there car objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,positive
00010,presence,Are there truck objects in this area?,no,truck,0,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,negative
00010,counting,How many car objects are in this area?,4,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,
00013,presence,Are there car objects in this area?,yes,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,positive
00013,presence,Are there truck objects in this area?,no,truck,0,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,negative
00013,counting,How many car objects are in this area?,4,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,
00016,presence,Are there car objects in this area?,no,car,0,normal,0.65,5.0,medium,0.0,0.0,0.0,0.0,negative
