channel,t_budget,snr_db,snr_bin,image_id,question,presence_polarity,ground_truth_answer,predicted_answer,normalized_prediction,correct,answer_confidence,payload_bytes,tokens_sent,model_name
rician,1,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.613183,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,full,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.583266,750,22,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.704956,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.716713,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.609573,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.675691,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,1,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.601132,695,1,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.683880,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.695377,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.622508,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.674353,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.709702,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,2,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.638090,695,2,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.674153,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.681957,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.550563,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.601872,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.633972,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,4,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.640591,702,4,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,-5,-5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.676762,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,0,0dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.676910,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,5,5dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.559225,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,10,10dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.620664,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,15,15dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.671778,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
rician,8,20,20dB,0000001_03499_d_0000006,Are there awning-tricycle objects in this area?,positive,yes,no,no,False,0.679596,702,8,/home/qiankun/.cache/huggingface/hub/models--HuggingFaceTB--SmolVLM-Instruct/snapshots/81cd9a775a4d644f2faf4e7becff4559b46b14c7
