image_id,question_type,question,answer,target_class,object_count,risk_level,epsilon_k,tau_k,view_quality_bin,scale_proxy,occlusion_score,truncation_score,density_score,presence_polarity,target_class_b,threshold_n
00001,co_presence,Are there both car and pedestrian objects in this area?,no,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,,pedestrian,
00001,threshold,Are there at least 17 car objects in this area?,no,car,14,normal,0.65,5.0,medium,0.0,0.0,0.0,15.0,,,17
00004,co_presence,Are there both car and pedestrian objects in this area?,no,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,pedestrian,
00004,threshold,Are there at least 8 car objects in this area?,yes,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,,8
00007,co_presence,Are there both car and pedestrian objects in this area?,no,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,,pedestrian,
00007,threshold,Are there at least 26 car objects in this area?,no,car,23,critical,0.82,3.0,medium,0.0,0.0,0.0,23.0,,,26
00010,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00010,threshold,Are there at least 4 car objects in this area?,yes,car,4,normal,0.65,5.0,medium,0.0,0.0,0.0,4.0,,,4
00013,co_presence,Are there both car and pedestrian objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,pedestrian,
00013,threshold,Are there at least 7 car objects in this area?,no,car,4,critical,0.82,3.0,medium,0.0,0.0,0.0,4.0,,,7
00019,co_presence,Are there both truck and pedestrian objects in this area?,no,truck,3,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,pedestrian,
00019,threshold,Are there at least 3 truck objects in this area?,yes,truck,3,critical,0.82,3.0,medium,0.0,0.0,0.0,3.0,,,3
00022,co_presence,Are there both car and pedestrian objects in this area?,no,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,pedestrian,
00022,threshold,Are there at least 10 car objects in this area?,no,car,7,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,,10
00025,co_presence,Are there both car and truck objects in this area?,yes,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,truck,
00025,threshold,Are there at least 11 car objects in this area?,yes,car,11,normal,0.65,5.0,medium,0.0,0.0,0.0,14.0,,,11
00028,co_presence,Are there both car and pedestrian objects in this area?,no,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,pedestrian,
00028,threshold,Are there at least 11 car objects in this area?,no,car,8,normal,0.65,5.0,medium,0.0,0.0,0.0,8.0,,,11
00031,co_presence,Are there both car and truck objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,truck,
00031,threshold,Are there at least 6 car objects in this area?,yes,car,6,critical,0.82,3.0,medium,0.0,0.0,0.0,8.0,,,6
00034,co_presence,Are there both car and pedestrian objects in this area?,no,car,15,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,pedestrian,
00034,threshold,Are there at least 18 car objects in this area?,no,car,15,critical,0.82,3.0,medium,0.0,0.0,0.0,15.0,,,18
00037,co_presence,Are there both car and truck objects in this area?,yes,car,19,normal,0.65,5.0,medium,0.0,0.0,0.0,20.0,,truck,
