image_id,question_type,question_orig,paraphrase_id,template_id,question_para,ground_truth_answer,target_class,target_class_b,threshold_n,snr_bin,channel_bin,payload_bytes,evidence_repr,degraded_image_path,orig_symbolic_correct,orig_raw_decoder_correct,orig_decoder_mode,orig_vlm_image_correct
0000001_03499_d_0000006,presence,Are there awning-tricycle objects in this area?,1,P2,Can you spot any awning-tricycle here?,yes,awning-tricycle,,,5dB,medium,750,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_03499_d_0000006
question_type: presence
target_class: awning-tricycle
detector_target_count: 0
detector_total_count: 22
detector_counts_by_class: car:11, motor:4, pedestrian:2, people:2, tricycle:1, van:2
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 103697
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_03499_d_0000006_5dB.jpg,False,False,v1_7_direct_calibrated,False
0000001_03499_d_0000006,presence,Are there awning-tricycle objects in this area?,2,P1,Is there any awning-tricycle in this scene?,yes,awning-tricycle,,,5dB,medium,750,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_03499_d_0000006
question_type: presence
target_class: awning-tricycle
detector_target_count: 0
detector_total_count: 22
detector_counts_by_class: car:11, motor:4, pedestrian:2, people:2, tricycle:1, van:2
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 103697
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_03499_d_0000006_5dB.jpg,False,False,v1_7_direct_calibrated,False
0000001_05499_d_0000010,presence,Are there truck objects in this area?,1,P3,Does this area contain any truck objects?,no,truck,,,5dB,medium,737,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_05499_d_0000010
question_type: presence
target_class: truck
detector_target_count: 0
detector_total_count: 90
detector_counts_by_class: awning-tricycle:1, car:78, motor:2, pedestrian:3, van:6
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 625893
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_05499_d_0000010_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000001_05499_d_0000010,presence,Are there truck objects in this area?,2,P2,Can you spot any truck here?,no,truck,,,5dB,medium,737,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_05499_d_0000010
question_type: presence
target_class: truck
detector_target_count: 0
detector_total_count: 90
detector_counts_by_class: awning-tricycle:1, car:78, motor:2, pedestrian:3, van:6
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 625893
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_05499_d_0000010_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000001_08414_d_0000013,presence,Are there bus objects in this area?,1,P3,Does this area contain any bus objects?,no,bus,,,5dB,medium,759,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_08414_d_0000013
question_type: presence
target_class: bus
detector_target_count: 0
detector_total_count: 61
detector_counts_by_class: awning-tricycle:1, car:17, motor:15, pedestrian:19, people:4, tricycle:3, van:2
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 189262
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_08414_d_0000013_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000001_08414_d_0000013,presence,Are there bus objects in this area?,2,P4,Any sign of bus in this view?,no,bus,,,5dB,medium,759,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000001_08414_d_0000013
question_type: presence
target_class: bus
detector_target_count: 0
detector_total_count: 61
detector_counts_by_class: awning-tricycle:1, car:17, motor:15, pedestrian:19, people:4, tricycle:3, van:2
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 189262
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000001_08414_d_0000013_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000023_00868_d_0000010,presence,Are there awning-tricycle objects in this area?,1,P1,Is there any awning-tricycle in this scene?,no,awning-tricycle,,,5dB,medium,721,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000023_00868_d_0000010
question_type: presence
target_class: awning-tricycle
detector_target_count: 0
detector_total_count: 8
detector_counts_by_class: motor:1, pedestrian:6, people:1
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 23271
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000023_00868_d_0000010_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000023_00868_d_0000010,presence,Are there awning-tricycle objects in this area?,2,P2,Can you spot any awning-tricycle here?,no,awning-tricycle,,,5dB,medium,721,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000023_00868_d_0000010
question_type: presence
target_class: awning-tricycle
detector_target_count: 0
detector_total_count: 8
detector_counts_by_class: motor:1, pedestrian:6, people:1
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 23271
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000023_00868_d_0000010_5dB.jpg,True,True,v1_7_direct_calibrated,True
0000024_00500_d_0000013,presence,Are there motor objects in this area?,1,P6,motor -- present in this scene or not?,yes,motor,,,5dB,medium,702,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000024_00500_d_0000013
question_type: presence
target_class: motor
detector_target_count: 0
detector_total_count: 7
detector_counts_by_class: pedestrian:4, people:3
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 14081
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000024_00500_d_0000013_5dB.jpg,False,False,v1_7_direct_calibrated,True
0000024_00500_d_0000013,presence,Are there motor objects in this area?,2,P5,Tell me whether motor objects appear in this area.,yes,motor,,,5dB,medium,702,"You are given lightweight UAV semantic tokens produced by a real object detector, not ground-truth annotations.
Use only these semantic tokens. Do not infer objects that are not listed.
image_id: 0000024_00500_d_0000013
question_type: presence
target_class: motor
detector_target_count: 0
detector_total_count: 7
detector_counts_by_class: pedestrian:4, people:3
target_mean_confidence: 0.000
target_top_confidence: 0.000
target_box_area_sum: 0
all_box_area_sum: 14081
density_hint: none
top_target_boxes: no target boxes detected
Answer format: yes/no for presence; a single integer for counting. For counting questions, the best answer is detector_target_count unless the tokens clearly say otherwise.",/home/qiankun/phd_research/vqa_semcom/outputs/vlm/degraded_images_v2_0_snr/5dB/0000024_00500_d_0000013_5dB.jpg,False,False,v1_7_direct_calibrated,True
